segment_id,first_frame,last_frame,num_frames,weighted_severity,weighted_uncertainty,weighted_confidence,mean_reliability,mean_detections,severity_std,centroid_lat,centroid_lon,dominant_class,severity_label,reinspection_flag,priority_score,maintenance_action,priority_rank
1,frame_000267.jpg,frame_000462.jpg,196,0.196076,0.55451,0.304293,0.855571,0.85,0.166353,12.91883037,77.52733213,pothole,low,1,0.37043,schedule,1
12,frame_001380.jpg,frame_001492.jpg,113,0.057912,0.530412,0.049935,0.882888,0.12,0.159124,12.9201916,77.52718011,alligator_crack,low,1,0.2701,monitor,2
28,frame_003061.jpg,frame_003230.jpg,170,0.057115,0.448754,0.054793,0.853936,0.19,0.134626,12.92125144,77.52842295,longitudinal_crack,low,0,0.107294,monitor,3
21,frame_002295.jpg,frame_002424.jpg,130,0.058926,0.434915,0.078724,0.804708,0.14,0.130474,12.92116951,77.52757885,longitudinal_crack,low,0,0.106485,monitor,4
20,frame_002176.jpg,frame_002294.jpg,119,0.070396,0.370935,0.144526,0.750257,0.33,0.111281,12.92117274,77.52744218,pothole,low,0,0.104917,monitor,5
32,frame_003658.jpg,frame_003786.jpg,129,0.057487,0.39588,0.07042,0.797838,0.19,0.118764,12.92147144,77.52873031,pothole,low,0,0.099623,monitor,6
17,frame_001886.jpg,frame_001970.jpg,85,0.057345,0.296156,0.207699,0.814455,0.42,0.088847,12.92085349,77.52727901,pothole,low,0,0.084565,monitor,7
2,frame_000463.jpg,frame_000613.jpg,151,0.044157,0.348909,0.056164,0.736219,0.18,0.104673,12.91886591,77.52741612,pothole,low,0,0.083246,monitor,8
26,frame_002820.jpg,frame_002931.jpg,112,0.031969,0.325096,0.026564,0.740768,0.08,0.097529,12.92123554,77.52818737,transverse_crack,low,0,0.071143,monitor,9
8,frame_001006.jpg,frame_001095.jpg,90,0.045837,0.259307,0.149766,0.961593,0.42,0.077792,12.9196786,77.52731428,pothole,low,0,0.070982,monitor,10
22,frame_002425.jpg,frame_002525.jpg,101,0.027898,0.320539,0.047464,0.596323,0.16,0.096162,12.92124984,77.52766972,pothole,low,0,0.067609,monitor,11
5,frame_000775.jpg,frame_000851.jpg,77,0.030475,0.253679,0.098016,0.860438,0.3,0.076104,12.91928272,77.52740335,pothole,low,0,0.059384,monitor,12
14,frame_001596.jpg,frame_001720.jpg,125,0.019244,0.29503,0.014035,0.825298,0.05,0.088509,12.92045782,77.52718049,alligator_crack,low,0,0.057725,monitor,13
7,frame_000930.jpg,frame_001005.jpg,76,0.032143,0.224761,0.14122,0.88735,0.22,0.067428,12.91954738,77.52735233,pothole,low,0,0.056214,monitor,14
18,frame_001971.jpg,frame_002058.jpg,88,0.033152,0.210973,0.078656,0.673965,0.23,0.063292,12.92098643,77.52731001,pothole,low,0,0.054852,monitor,15
27,frame_002932.jpg,frame_003060.jpg,129,0.018619,0.237315,0.028437,0.777993,0.07,0.071195,12.92121378,77.52831825,pothole,low,0,0.048631,monitor,16
30,frame_003368.jpg,frame_003543.jpg,176,0.01666,0.237056,0.018798,0.696293,0.06,0.071117,12.92150756,77.52847338,transverse_crack,low,0,0.04722,monitor,17
6,frame_000852.jpg,frame_000929.jpg,78,0.022042,0.195118,0.096668,0.826558,0.22,0.058535,12.91941408,77.52738196,pothole,low,0,0.044697,monitor,18
11,frame_001268.jpg,frame_001379.jpg,112,0.018158,0.190976,0.041061,0.911219,0.12,0.057293,12.92007116,77.52719677,pothole,low,0,0.041357,monitor,19
0,frame_000000.jpg,frame_000266.jpg,267,0.019614,0.17159,0.059879,0.943886,0.15,0.051477,12.91889144,77.52717083,pothole,low,0,0.039468,monitor,20
23,frame_002526.jpg,frame_002606.jpg,81,0.022686,0.154509,0.105606,0.620807,0.19,0.046353,12.92131742,77.52777458,pothole,low,0,0.039057,monitor,21
16,frame_001803.jpg,frame_001885.jpg,83,0.009681,0.159155,0.01519,0.769071,0.04,0.047747,12.92072768,77.52724463,pothole,low,0,0.03065,monitor,22
19,frame_002059.jpg,frame_002175.jpg,117,0.005686,0.123649,0.010654,0.669921,0.03,0.037095,12.92111946,77.52734316,pothole,low,0,0.022528,monitor,23
