segment_id,first_frame,last_frame,num_frames,weighted_severity,weighted_uncertainty,weighted_confidence,mean_reliability,mean_detections,severity_std,centroid_lat,centroid_lon,dominant_class,severity_label,reinspection_flag,priority_score,maintenance_action,priority_rank
9,frame_001611.jpg,frame_001697.jpg,87,0.019949,0.206198,0.033151,0.623772,0.14,0.061859,12.93795359,77.5449234,pothole,low,0,0.044894,monitor,1
0,frame_000000.jpg,frame_000765.jpg,766,0.008832,0.174156,0.01155,0.620415,0.03,0.052247,12.93916012,77.54520643,pothole,low,0,0.032306,monitor,2
7,frame_001429.jpg,frame_001527.jpg,99,0.012172,0.148452,0.031583,0.640293,0.1,0.044536,12.9382066,77.54501763,longitudinal_crack,low,0,0.030788,monitor,3
5,frame_001255.jpg,frame_001341.jpg,87,0.009052,0.152216,0.014112,0.548959,0.05,0.045665,12.93846518,77.54510339,pothole,low,0,0.029169,monitor,4
11,frame_001785.jpg,frame_001912.jpg,128,0.011422,0.113206,0.039122,0.552513,0.07,0.033962,12.93769,77.54484414,pothole,low,0,0.024976,monitor,5
10,frame_001698.jpg,frame_001784.jpg,87,0.008032,0.111016,0.019115,0.63894,0.06,0.033305,12.93781999,77.54488339,pothole,low,0,0.022275,monitor,6
1,frame_000766.jpg,frame_000895.jpg,130,0.004562,0.116382,0.006514,0.606676,0.02,0.034915,12.93898803,77.54516566,pothole,low,0,0.020651,monitor,7
6,frame_001342.jpg,frame_001428.jpg,87,0.004849,0.093014,0.031268,0.579589,0.09,0.027904,12.93832491,77.54505868,longitudinal_crack,low,0,0.017346,monitor,8
8,frame_001528.jpg,frame_001610.jpg,83,0.006914,0.083098,0.030618,0.620149,0.06,0.024929,12.93808296,77.54496621,pothole,low,0,0.017305,monitor,9
4,frame_001133.jpg,frame_001254.jpg,122,0.0,0.0,0.0,0.670477,0.0,0.0,12.93859726,77.54512086,none,low,0,0.0,monitor,10
2,frame_000896.jpg,frame_001028.jpg,133,0.0,0.0,0.0,0.631112,0.0,0.0,12.93885998,77.54516149,none,low,0,0.0,monitor,10
3,frame_001029.jpg,frame_001132.jpg,104,0.0,0.0,0.0,0.629003,0.0,0.0,12.93872435,77.54514394,none,low,0,0.0,monitor,10
12,frame_001913.jpg,frame_001942.jpg,30,0.0,0.0,0.0,0.524097,0.0,0.0,12.93761606,77.54482227,none,low,0,0.0,monitor,10
