seg_a,seg_b,dist_m
0,1,19.67
0,2,34.93
0,3,50.06
0,4,65.03
0,5,79.95
0,6,95.06
1,2,15.26
1,3,30.38
1,4,45.35
1,5,60.27
1,6,75.39
1,7,90.45
2,3,15.13
2,4,30.1
2,5,45.02
2,6,60.13
2,7,75.19
2,8,90.13
3,4,14.97
3,5,29.89
3,6,45.0
3,7,60.06
3,8,75.0
3,9,90.02
4,5,14.92
4,6,30.03
4,7,45.1
4,8,60.03
4,9,75.05
4,10,89.97
5,6,15.12
5,7,30.18
5,8,45.11
5,9,60.13
5,10,75.05
5,11,89.97
6,7,15.06
6,8,30.0
6,9,45.02
6,10,59.95
6,11,74.87
6,12,89.97
7,8,14.94
7,9,29.96
7,10,44.9
7,11,59.82
7,12,74.92
7,13,90.19
8,9,15.03
8,10,29.97
8,11,44.89
8,12,59.99
8,13,75.25
8,14,89.97
9,10,14.94
9,11,29.86
9,12,44.96
9,13,60.22
9,14,74.95
9,15,90.07
10,11,14.92
10,12,30.02
10,13,45.29
10,14,60.01
10,15,75.13
10,16,89.96
11,12,15.1
11,13,30.37
11,14,45.09
11,15,60.21
11,16,75.04
11,17,89.92
11,18,98.96
12,13,15.26
12,14,29.99
12,15,45.11
12,16,59.95
12,17,74.83
12,18,83.87
13,14,14.73
13,15,29.85
13,16,44.69
13,17,59.58
13,18,68.61
14,15,15.13
14,16,29.96
14,17,44.85
14,18,53.89
15,16,14.85
15,17,29.75
15,18,38.78
16,17,14.9
16,18,23.93
17,18,9.04
