frame,blur_score,brightness_score,motion_score,reliability
frame_000000.jpg,1.0,1.0,0.7397,0.9479
frame_000001.jpg,1.0,1.0,0.7473,0.9495
frame_000002.jpg,1.0,1.0,0.7674,0.9535
frame_000003.jpg,1.0,1.0,0.7905,0.9581
frame_000004.jpg,1.0,1.0,0.8062,0.9612
frame_000005.jpg,1.0,1.0,0.8477,0.9695
frame_000006.jpg,1.0,1.0,0.915,0.983
frame_000007.jpg,1.0,1.0,0.9617,0.9923
frame_000008.jpg,1.0,1.0,0.9874,0.9975
frame_000009.jpg,1.0,1.0,0.9901,0.998
frame_000010.jpg,1.0,1.0,0.9632,0.9926
frame_000011.jpg,1.0,1.0,0.9505,0.9901
frame_000012.jpg,1.0,1.0,0.9422,0.9884
frame_000013.jpg,1.0,1.0,0.9225,0.9845
frame_000014.jpg,1.0,1.0,0.8714,0.9743
frame_000015.jpg,1.0,1.0,0.8375,0.9675
frame_000016.jpg,1.0,1.0,0.8779,0.9756
frame_000017.jpg,1.0,1.0,0.9433,0.9887
frame_000018.jpg,1.0,1.0,1.0,1.0
frame_000019.jpg,1.0,1.0,1.0,1.0
frame_000020.jpg,1.0,1.0,1.0,1.0
frame_000021.jpg,1.0,1.0,1.0,1.0
frame_000022.jpg,1.0,1.0,1.0,1.0
frame_000023.jpg,1.0,1.0,1.0,1.0
frame_000024.jpg,1.0,1.0,1.0,1.0
frame_000025.jpg,1.0,1.0,1.0,1.0
frame_000026.jpg,1.0,1.0,1.0,1.0
frame_000027.jpg,1.0,1.0,1.0,1.0
frame_000028.jpg,1.0,1.0,1.0,1.0
frame_000029.jpg,1.0,1.0,1.0,1.0
frame_000030.jpg,1.0,1.0,1.0,1.0
frame_000031.jpg,1.0,1.0,1.0,1.0
frame_000032.jpg,1.0,1.0,1.0,1.0
frame_000033.jpg,1.0,1.0,1.0,1.0
frame_000034.jpg,1.0,1.0,1.0,1.0
frame_000035.jpg,1.0,1.0,1.0,1.0
frame_000036.jpg,1.0,1.0,1.0,1.0
frame_000037.jpg,1.0,1.0,1.0,1.0
frame_000038.jpg,1.0,1.0,1.0,1.0
frame_000039.jpg,1.0,1.0,1.0,1.0
frame_000040.jpg,1.0,1.0,1.0,1.0
frame_000041.jpg,1.0,1.0,1.0,1.0
frame_000042.jpg,1.0,1.0,1.0,1.0
frame_000043.jpg,1.0,1.0,1.0,1.0
frame_000044.jpg,1.0,1.0,1.0,1.0
frame_000045.jpg,1.0,1.0,1.0,1.0
frame_000046.jpg,1.0,1.0,1.0,1.0
frame_000047.jpg,1.0,1.0,1.0,1.0
frame_000048.jpg,1.0,1.0,1.0,1.0
frame_000049.jpg,1.0,1.0,1.0,1.0
frame_000050.jpg,1.0,1.0,1.0,1.0
frame_000051.jpg,1.0,1.0,1.0,1.0
frame_000052.jpg,1.0,1.0,1.0,1.0
frame_000053.jpg,1.0,1.0,1.0,1.0
frame_000054.jpg,1.0,1.0,1.0,1.0
frame_000055.jpg,1.0,1.0,1.0,1.0
frame_000056.jpg,1.0,1.0,1.0,1.0
frame_000057.jpg,1.0,1.0,1.0,1.0
frame_000058.jpg,1.0,1.0,0.8363,0.9673
frame_000059.jpg,1.0,1.0,0.8013,0.9603
frame_000060.jpg,1.0,1.0,0.8743,0.9749
frame_000061.jpg,1.0,1.0,1.0,1.0
frame_000062.jpg,1.0,1.0,1.0,1.0
frame_000063.jpg,1.0,1.0,1.0,1.0
frame_000064.jpg,1.0,1.0,0.7715,0.9543
frame_000065.jpg,1.0,1.0,0.7698,0.954
frame_000066.jpg,1.0,1.0,0.7555,0.9511
frame_000067.jpg,1.0,1.0,0.7342,0.9468
frame_000068.jpg,0.9942,1.0,0.7336,0.9438
frame_000069.jpg,0.8939,1.0,0.7971,0.9063
frame_000070.jpg,1.0,1.0,0.8708,0.9742
frame_000071.jpg,1.0,1.0,0.9701,0.994
frame_000072.jpg,1.0,1.0,1.0,1.0
frame_000073.jpg,1.0,1.0,1.0,1.0
frame_000074.jpg,1.0,1.0,1.0,1.0
frame_000075.jpg,1.0,1.0,1.0,1.0
frame_000076.jpg,1.0,1.0,1.0,1.0
frame_000077.jpg,1.0,1.0,1.0,1.0
frame_000078.jpg,1.0,1.0,1.0,1.0
frame_000079.jpg,1.0,1.0,1.0,1.0
frame_000080.jpg,1.0,1.0,1.0,1.0
frame_000081.jpg,1.0,1.0,1.0,1.0
frame_000082.jpg,1.0,1.0,1.0,1.0
frame_000083.jpg,1.0,1.0,1.0,1.0
frame_000084.jpg,1.0,1.0,1.0,1.0
frame_000085.jpg,1.0,1.0,1.0,1.0
frame_000086.jpg,1.0,1.0,1.0,1.0
frame_000087.jpg,1.0,1.0,1.0,1.0
