seg_a,seg_b,dist_m
0,1,19.39
0,2,34.51
0,3,49.65
0,4,64.63
0,5,79.51
0,6,94.41
1,2,15.13
1,3,30.29
1,4,45.27
1,5,60.15
1,6,75.06
1,7,90.24
2,3,15.16
2,4,30.15
2,5,45.03
2,6,59.94
2,7,75.11
2,8,89.93
3,4,14.99
3,5,29.87
3,6,44.77
3,7,59.95
3,8,74.76
3,9,89.91
4,5,14.88
4,6,29.79
4,7,44.97
4,8,59.78
4,9,74.92
4,10,89.94
5,6,14.91
5,7,30.09
5,8,44.9
5,9,60.05
5,10,75.07
5,11,89.78
6,7,15.18
6,8,29.99
6,9,45.14
6,10,60.16
6,11,74.87
6,12,89.98
7,8,14.81
7,9,29.96
7,10,44.98
7,11,59.7
7,12,74.81
7,13,89.8
8,9,15.15
8,10,30.17
8,11,44.88
8,12,60.0
8,13,74.99
8,14,90.03
9,10,15.02
9,11,29.73
9,12,44.85
9,13,59.84
9,14,74.88
9,15,89.9
10,11,14.71
10,12,29.83
10,13,44.82
10,14,59.86
10,15,74.89
10,16,89.88
11,12,15.11
11,13,30.1
11,14,45.15
11,15,60.18
11,16,75.17
11,17,90.3
12,13,14.99
12,14,30.04
12,15,45.07
12,16,60.07
12,17,75.18
12,18,90.26
13,14,15.06
13,15,30.1
13,16,45.09
13,17,60.2
13,18,75.27
13,19,89.71
14,15,15.05
14,16,30.03
14,17,45.15
14,18,60.22
14,19,74.66
14,20,90.61
15,16,15.0
15,17,30.13
15,18,45.21
15,19,59.66
15,20,75.61
15,21,89.56
16,17,15.14
16,18,30.22
16,19,44.66
16,20,60.61
16,21,74.57
16,22,89.5
17,18,15.08
17,19,29.53
17,20,45.48
17,21,59.43
17,22,74.36
17,23,89.79
18,19,14.45
18,20,30.4
18,21,44.35
18,22,59.28
18,23,74.71
18,24,89.7
19,20,15.95
19,21,29.91
19,22,44.84
19,23,60.28
19,24,75.26
19,25,90.08
20,21,13.97
20,22,28.9
20,23,44.33
20,24,59.31
20,25,74.13
20,26,89.01
21,22,14.93
21,23,30.36
21,24,45.35
21,25,60.17
21,26,75.05
21,27,90.07
22,23,15.43
22,24,30.42
22,25,45.23
22,26,60.12
22,27,75.14
22,28,90.27
23,24,14.99
23,25,29.81
23,26,44.7
23,27,59.72
23,28,74.85
23,29,89.74
24,25,14.82
24,26,29.71
24,27,44.73
24,28,59.86
24,29,74.75
24,30,89.78
25,26,14.9
25,27,29.92
25,28,45.04
25,29,59.93
25,30,74.97
25,31,90.09
26,27,15.02
26,28,30.15
26,29,45.04
26,30,60.08
26,31,75.21
26,32,90.21
27,28,15.13
27,29,30.03
27,30,45.08
27,31,60.2
27,32,75.2
27,33,90.18
28,29,14.9
28,30,29.95
28,31,45.07
28,32,60.07
28,33,75.05
28,34,90.04
29,30,15.05
29,31,30.17
29,32,45.17
29,33,60.15
29,34,75.14
29,35,90.3
30,31,15.13
30,32,30.13
30,33,45.11
30,34,60.11
30,35,75.26
30,36,90.14
31,32,15.0
31,33,29.98
31,34,44.98
31,35,60.14
31,36,75.02
31,37,90.02
32,33,14.99
32,34,29.98
32,35,45.15
32,36,60.03
32,37,75.03
32,38,90.15
33,34,15.0
33,35,30.17
33,36,45.05
33,37,60.05
33,38,75.17
33,39,89.86
34,35,15.17
34,36,30.05
34,37,45.05
34,38,60.16
34,39,74.86
34,40,89.75
35,36,14.88
35,37,29.88
35,38,45.0
35,39,59.7
35,40,74.59
35,41,89.67
36,37,15.0
36,38,30.12
36,39,44.83
36,40,59.72
36,41,74.79
36,42,90.27
37,38,15.13
37,39,29.84
37,40,44.73
37,41,59.8
37,42,75.27
37,43,88.55
38,39,14.72
38,40,29.6
38,41,44.67
38,42,60.15
38,43,73.43
39,40,14.89
39,41,29.97
39,42,45.46
39,43,58.74
40,41,15.08
40,42,30.57
40,43,43.85
41,42,15.49
41,43,28.77
42,43,13.28
