seg_a,seg_b,dist_m
0,1,16.3
0,2,29.12
0,3,43.17
0,4,58.09
0,5,72.77
0,6,87.27
1,2,15.41
1,3,30.28
1,4,45.6
1,5,60.51
1,6,75.29
1,7,90.31
2,3,14.87
2,4,30.19
2,5,45.11
2,6,59.88
2,7,74.9
2,8,89.4
3,4,15.32
3,5,30.24
3,6,45.01
3,7,60.03
3,8,74.53
3,9,90.15
4,5,14.92
4,6,29.7
4,7,44.72
4,8,59.21
4,9,74.83
4,10,89.36
5,6,14.8
5,7,29.82
5,8,44.3
5,9,59.91
5,10,74.44
5,11,90.36
5,12,97.99
5,13,96.02
5,14,94.25
5,15,93.36
5,16,94.66
6,7,15.03
6,8,29.52
6,9,45.14
6,10,59.68
6,11,75.6
6,12,83.28
6,13,81.93
6,14,81.11
6,15,81.63
6,16,84.66
6,17,95.6
7,8,14.55
7,9,30.16
7,10,44.69
7,11,60.63
7,12,68.38
7,13,67.91
7,14,68.43
7,15,70.85
7,16,76.06
7,17,87.39
8,9,15.62
8,10,30.16
8,11,46.09
8,12,53.84
8,13,54.12
8,14,56.14
8,15,60.74
8,16,68.27
8,17,79.76
8,18,94.18
9,10,14.53
9,11,30.46
9,12,38.27
9,13,40.23
9,14,44.97
9,15,52.83
9,16,63.28
9,17,74.52
9,18,87.7
10,11,15.94
10,12,23.88
10,13,29.07
10,14,37.7
10,15,49.09
10,16,62.06
10,17,72.55
10,18,84.02
10,19,96.1
11,12,8.39
11,13,21.39
11,14,34.73
11,15,49.19
11,16,63.99
11,17,73.11
11,18,82.19
11,19,92.54
12,13,17.99
12,14,32.63
12,15,47.91
12,16,63.19
12,17,71.4
12,18,79.08
12,19,88.44
12,20,97.36
13,14,14.77
13,15,30.22
13,16,45.62
13,17,53.45
13,18,61.26
13,19,71.19
13,20,81.03
13,21,89.75
14,15,15.48
14,16,30.91
14,17,38.78
14,18,47.55
14,19,58.67
14,20,69.91
14,21,80.04
14,22,91.64
15,16,15.43
15,17,23.97
15,18,35.1
15,19,48.13
15,20,61.26
15,21,73.1
15,22,86.11
15,23,99.99
16,17,11.48
16,18,26.48
16,19,41.22
16,20,56.01
16,21,69.37
16,22,83.49
16,23,98.29
17,18,15.61
17,19,30.5
17,20,45.64
17,21,59.41
17,22,73.85
17,23,88.93
18,19,14.89
18,20,30.07
18,21,44.0
18,22,58.57
18,23,73.79
18,24,88.61
19,20,15.32
19,21,29.5
19,22,44.24
19,23,59.59
19,24,74.51
19,25,89.76
20,21,14.3
20,22,29.09
20,23,44.49
20,24,59.44
20,25,74.68
20,26,89.47
21,22,14.79
21,23,30.19
21,24,45.14
21,25,60.38
21,26,75.17
21,27,90.12
22,23,15.41
22,24,30.36
22,25,45.59
22,26,60.39
22,27,75.34
22,28,90.04
23,24,14.95
23,25,30.19
23,26,44.98
23,27,59.93
23,28,74.63
23,29,90.03
24,25,15.26
24,26,30.04
24,27,44.99
24,28,59.68
24,29,75.09
24,30,89.99
25,26,14.8
25,27,29.75
25,28,44.45
25,29,59.84
25,30,74.74
25,31,89.7
26,27,14.95
26,28,29.65
26,29,45.05
26,30,59.95
26,31,74.91
26,32,89.48
27,28,14.7
27,29,30.1
27,30,45.0
27,31,59.96
27,32,74.52
27,33,89.91
28,29,15.42
28,30,30.3
28,31,45.26
28,32,59.83
28,33,75.22
28,34,89.99
29,30,14.9
29,31,29.86
29,32,44.42
29,33,59.82
29,34,74.6
29,35,89.48
30,31,14.96
30,32,29.53
30,33,44.92
30,34,59.7
30,35,74.58
30,36,89.63
30,37,97.28
31,32,14.57
31,33,29.96
31,34,44.75
31,35,59.63
31,36,74.67
31,37,82.32
32,33,15.4
32,34,30.21
32,35,45.07
32,36,60.11
32,37,67.75
33,34,14.81
33,35,29.67
33,36,44.72
33,37,52.36
34,35,14.9
34,36,30.01
34,37,37.64
35,36,15.12
35,37,22.75
36,37,7.64
