seg_a,seg_b,dist_m
0,1,19.64
0,2,34.45
0,3,49.07
0,4,64.62
0,5,79.5
0,6,94.1
1,2,14.81
1,3,29.43
1,4,44.98
1,5,59.87
1,6,74.47
1,7,90.07
2,3,14.62
2,4,30.17
2,5,45.05
2,6,59.66
2,7,75.26
2,8,90.44
3,4,15.56
3,5,30.45
3,6,45.05
3,7,60.65
3,8,75.83
3,9,90.15
4,5,14.89
4,6,29.49
4,7,45.09
4,8,60.27
4,9,74.59
4,10,89.67
5,6,14.61
5,7,30.21
5,8,45.39
5,9,59.71
5,10,74.79
5,11,89.67
6,7,15.61
6,8,30.8
6,9,45.11
6,10,60.21
6,11,75.09
6,12,90.23
7,8,15.19
7,9,29.5
7,10,44.6
7,11,59.48
7,12,74.62
7,13,89.6
8,9,14.32
8,10,29.41
8,11,44.29
8,12,59.43
8,13,74.41
8,14,89.28
9,10,15.1
9,11,29.99
9,12,45.12
9,13,60.1
9,14,74.97
9,15,90.28
10,11,14.89
10,12,30.03
10,13,45.01
10,14,59.87
10,15,75.19
10,16,89.98
11,12,15.14
11,13,30.12
11,14,44.99
11,15,60.3
11,16,75.09
11,17,90.12
12,13,14.99
12,14,29.86
12,15,45.17
12,16,59.96
12,17,74.99
12,18,90.57
13,14,14.87
13,15,30.18
13,16,44.97
13,17,60.0
13,18,75.58
13,19,89.66
13,20,99.97
14,15,15.32
14,16,30.11
14,17,45.13
14,18,60.71
14,19,74.79
14,20,85.18
14,21,99.71
15,16,14.79
15,17,29.82
15,18,45.4
15,19,59.48
15,20,70.02
15,21,84.54
15,22,99.59
16,17,15.02
16,18,30.61
16,19,44.69
16,20,55.38
16,21,69.89
16,22,84.9
17,18,15.59
17,19,29.66
17,20,40.62
17,21,55.07
17,22,70.01
17,23,85.29
17,24,96.94
18,19,14.11
18,20,25.95
18,21,40.09
18,22,54.81
18,23,70.0
18,24,81.85
18,25,93.03
19,20,13.37
19,21,26.51
19,22,40.91
19,23,56.0
19,24,67.98
19,25,79.4
19,26,93.0
20,21,14.53
20,22,29.63
20,23,44.99
20,24,56.37
20,25,67.21
20,26,80.91
21,22,15.13
21,23,30.49
21,24,41.87
21,25,52.95
21,26,66.61
22,23,15.36
22,24,27.07
22,25,38.78
22,26,52.24
23,24,12.61
23,25,25.29
23,26,38.06
24,25,12.84
24,26,25.47
25,26,13.72
