seg_a,seg_b,dist_m
0,1,18.2
0,2,32.17
0,3,47.15
0,4,61.9
0,5,76.86
0,6,91.89
1,2,14.35
1,3,29.25
1,4,43.79
1,5,58.72
1,6,73.74
1,7,88.36
2,3,14.99
2,4,29.84
2,5,44.82
2,6,59.83
2,7,74.46
2,8,89.59
3,4,15.13
3,5,30.04
3,6,44.98
3,7,59.62
3,8,74.73
3,9,89.61
4,5,14.98
4,6,29.99
4,7,44.63
4,8,59.75
4,9,74.63
4,10,89.76
5,6,15.02
5,7,29.65
5,8,44.78
5,9,59.66
5,10,74.79
5,11,89.88
6,7,14.64
6,8,29.76
6,9,44.65
6,10,59.78
6,11,74.88
6,12,90.27
7,8,15.13
7,9,30.01
7,10,45.15
7,11,60.25
7,12,75.64
7,13,89.89
7,14,97.53
7,15,97.91
7,16,99.11
8,9,14.89
8,10,30.03
8,11,45.15
8,12,60.55
8,13,74.83
8,14,82.74
8,15,83.88
8,16,86.17
8,17,91.01
8,18,99.12
9,10,15.15
9,11,30.26
9,12,45.67
9,13,59.98
9,14,68.15
9,15,70.17
9,16,73.8
9,17,80.28
9,18,89.62
10,11,15.12
10,12,30.53
10,13,44.86
10,14,53.41
10,15,56.72
10,16,62.19
10,17,70.72
10,18,81.42
10,19,91.72
11,12,15.41
11,13,29.78
11,14,38.88
11,15,44.16
11,16,52.14
11,17,63.06
11,18,75.08
11,19,84.02
11,20,95.25
12,13,14.4
12,14,24.58
12,15,33.23
12,16,44.49
12,17,57.89
12,18,70.92
12,19,77.99
12,20,87.38
12,21,98.18
13,14,12.44
13,15,25.82
13,16,39.96
13,17,55.03
13,18,68.45
13,19,73.36
13,20,80.59
13,21,89.88
14,15,15.38
14,16,30.4
14,17,45.92
14,18,59.22
14,19,62.76
14,20,68.92
14,21,77.7
14,22,87.89
14,23,94.54
14,24,92.62
14,25,90.25
14,26,96.98
15,16,15.06
15,17,30.59
15,18,43.85
15,19,47.66
15,20,54.95
15,21,65.05
15,22,76.59
15,23,84.84
15,24,84.85
15,25,84.86
15,26,93.55
16,17,15.53
16,18,28.82
16,19,33.7
16,20,43.23
16,21,55.23
16,22,68.43
16,23,78.54
16,24,80.89
16,25,83.58
16,26,94.09
17,18,13.42
17,19,21.06
17,20,34.13
17,21,48.15
17,22,62.86
17,23,74.83
17,24,79.76
17,25,85.21
17,26,97.25
18,19,12.76
18,20,28.19
18,21,43.0
18,22,58.34
18,23,71.58
18,24,78.64
18,25,86.31
18,26,99.37
19,20,15.45
19,21,30.25
19,22,45.61
19,23,58.97
19,24,66.54
19,25,75.07
19,26,88.55
20,21,14.81
20,22,30.16
20,23,43.61
20,24,51.84
20,25,61.54
20,26,75.49
20,27,88.32
21,22,15.36
21,23,29.09
21,24,38.56
21,25,50.0
21,26,64.34
21,27,76.28
21,28,87.23
21,29,99.32
22,23,14.25
22,24,25.88
22,25,39.55
22,26,53.88
22,27,64.34
22,28,74.06
22,29,85.34
22,30,97.71
23,24,13.66
23,25,28.72
23,26,42.35
23,27,51.36
23,28,60.22
23,29,71.16
23,30,83.47
23,31,96.74
24,25,15.16
24,26,28.71
24,27,38.46
24,28,48.68
24,29,60.97
24,30,74.31
24,31,88.34
24,32,95.89
25,26,14.43
25,27,26.85
25,28,39.7
25,29,53.87
25,30,68.37
25,31,83.14
25,32,90.93
26,27,14.43
26,28,28.9
26,29,44.0
26,30,58.98
26,31,74.0
26,32,81.85
27,28,14.69
27,29,29.92
27,30,44.93
27,31,59.95
27,32,67.78
28,29,15.23
28,30,30.23
28,31,45.26
28,32,53.09
29,30,15.01
29,31,30.04
29,32,37.87
30,31,15.03
30,32,22.87
31,32,7.85
