segment_id,first_frame,last_frame,num_frames,weighted_severity,weighted_uncertainty,weighted_confidence,mean_reliability,mean_detections,severity_std,centroid_lat,centroid_lon,dominant_class,severity_label,reinspection_flag
0,frame_000000.jpg,frame_000173.jpg,174,0.0,0.0,0.0,0.872949,0.0,0.0,12.93434092,77.54495182,none,low,0
1,frame_000174.jpg,frame_000287.jpg,114,0.012331,0.21904,0.011504,0.860957,0.04,0.065712,12.93448068,77.54498027,longitudinal_crack,low,0
2,frame_000288.jpg,frame_000441.jpg,154,0.0,0.0,0.0,0.911974,0.0,0.0,12.93461421,77.54501253,none,low,0
3,frame_000442.jpg,frame_000584.jpg,143,0.065094,0.391135,0.144708,0.968528,0.44,0.117341,12.93473298,77.54505823,pothole,low,0
4,frame_000585.jpg,frame_000713.jpg,129,0.068089,0.406183,0.115038,0.912503,0.53,0.121855,12.93485583,77.54511749,pothole,low,0
5,frame_000714.jpg,frame_000864.jpg,151,0.079449,0.308455,0.307908,0.895682,0.65,0.092536,12.93499089,77.54515209,pothole,low,0
6,frame_000865.jpg,frame_001028.jpg,164,0.063904,0.425501,0.096949,0.967102,0.37,0.12765,12.93510832,77.5451966,pothole,low,0
7,frame_001029.jpg,frame_001169.jpg,141,0.000559,0.019825,0.002126,0.899962,0.01,0.005947,12.9352454,77.54523624,pothole,low,0
8,frame_001170.jpg,frame_001310.jpg,141,0.028019,0.303708,0.032285,0.765066,0.11,0.091113,12.93537422,77.54527283,pothole,low,0
9,frame_001311.jpg,frame_001312.jpg,2,0.0,0.0,0.0,0.8609,0.0,0.0,12.93543774,77.5452967,none,low,0
