frame,blur_score,brightness_score,motion_score,reliability
frame_000000.jpg,1.0,1.0,1.0,1.0
frame_000001.jpg,0.8762,1.0,1.0,0.9381
frame_000002.jpg,1.0,1.0,1.0,1.0
frame_000003.jpg,1.0,1.0,1.0,1.0
frame_000004.jpg,0.6512,1.0,1.0,0.8256
frame_000005.jpg,0.5871,1.0,1.0,0.7936
frame_000006.jpg,0.6277,1.0,1.0,0.8138
frame_000007.jpg,0.6195,1.0,1.0,0.8097
frame_000008.jpg,0.6198,1.0,1.0,0.8099
frame_000009.jpg,0.619,1.0,1.0,0.8095
frame_000010.jpg,0.6259,1.0,1.0,0.813
frame_000011.jpg,0.6181,1.0,1.0,0.8091
frame_000012.jpg,0.6048,1.0,1.0,0.8024
frame_000013.jpg,0.5757,1.0,1.0,0.7879
frame_000014.jpg,0.5402,1.0,1.0,0.7701
frame_000015.jpg,0.5511,1.0,1.0,0.7756
frame_000016.jpg,0.5112,1.0,1.0,0.7556
frame_000017.jpg,0.4713,1.0,1.0,0.7357
frame_000018.jpg,0.499,1.0,1.0,0.7495
frame_000019.jpg,0.6484,1.0,1.0,0.8242
frame_000020.jpg,0.7781,1.0,1.0,0.8891
frame_000021.jpg,0.9113,1.0,1.0,0.9557
frame_000022.jpg,0.996,1.0,1.0,0.998
frame_000023.jpg,1.0,1.0,1.0,1.0
frame_000024.jpg,0.9651,1.0,1.0,0.9826
frame_000025.jpg,0.9512,1.0,1.0,0.9756
frame_000026.jpg,1.0,1.0,1.0,1.0
frame_000027.jpg,1.0,1.0,1.0,1.0
frame_000028.jpg,1.0,1.0,1.0,1.0
frame_000029.jpg,1.0,1.0,1.0,1.0
frame_000030.jpg,1.0,1.0,1.0,1.0
frame_000031.jpg,1.0,1.0,1.0,1.0
frame_000032.jpg,1.0,1.0,0.9062,0.9812
frame_000033.jpg,1.0,1.0,0.8328,0.9666
frame_000034.jpg,1.0,1.0,0.808,0.9616
frame_000035.jpg,1.0,1.0,0.8095,0.9619
frame_000036.jpg,1.0,1.0,0.8989,0.9798
frame_000037.jpg,1.0,1.0,1.0,1.0
frame_000038.jpg,1.0,1.0,1.0,1.0
