seg_a,seg_b,dist_m
0,1,19.28
0,2,34.33
0,3,49.38
0,4,64.56
0,5,80.14
0,6,90.28
1,2,15.06
1,3,30.13
1,4,45.29
1,5,60.86
1,6,71.15
1,7,84.69
1,8,98.29
2,3,15.07
2,4,30.23
2,5,45.9
2,6,56.49
2,7,70.49
2,8,84.5
2,9,98.93
3,4,15.19
3,5,31.13
3,6,42.27
3,7,56.94
3,8,71.44
3,9,86.28
4,5,16.26
4,6,28.1
4,7,43.45
4,8,58.38
4,9,73.53
4,10,89.01
5,6,12.39
5,7,28.1
5,8,43.21
5,9,58.48
5,10,73.97
5,11,86.3
6,7,15.72
6,8,30.83
6,9,46.1
6,10,61.59
6,11,73.91
6,12,90.27
7,8,15.11
7,9,30.38
7,10,45.87
7,11,58.2
7,12,74.6
7,13,89.0
8,9,15.28
8,10,30.76
8,11,43.11
8,12,59.57
8,13,74.02
8,14,89.21
9,10,15.5
9,11,27.89
9,12,44.47
9,13,58.99
9,14,74.27
9,15,89.18
10,11,12.43
10,12,29.12
10,13,43.7
10,14,59.06
10,15,74.04
10,16,88.48
11,12,16.73
11,13,31.32
11,14,46.71
11,15,61.72
11,16,76.18
11,17,91.4
12,13,14.59
12,14,29.99
12,15,45.01
12,16,59.48
12,17,74.72
12,18,89.53
13,14,15.41
13,15,30.44
13,16,44.92
13,17,60.2
13,18,75.04
13,19,89.92
14,15,15.04
14,16,29.52
14,17,44.81
14,18,59.67
14,19,74.57
14,20,89.7
15,16,14.48
15,17,29.79
15,18,44.67
15,19,59.58
15,20,74.71
15,21,89.78
16,17,15.35
16,18,30.25
16,19,45.17
16,20,60.3
16,21,75.38
16,22,90.23
17,18,14.91
17,19,29.82
17,20,44.95
17,21,60.04
17,22,74.89
17,23,89.83
18,19,14.91
18,20,30.04
18,21,45.13
18,22,59.97
18,23,74.92
18,24,90.02
19,20,15.13
19,21,30.22
19,22,45.06
19,23,60.01
19,24,75.11
19,25,90.2
20,21,15.09
20,22,29.94
20,23,44.88
20,24,59.99
20,25,75.08
20,26,90.0
21,22,14.85
21,23,29.79
21,24,44.9
21,25,59.99
21,26,74.91
21,27,89.74
22,23,14.94
22,24,30.05
22,25,45.14
22,26,60.06
22,27,74.9
22,28,90.04
23,24,15.12
23,25,30.21
23,26,45.13
23,27,59.97
23,28,75.11
23,29,90.03
24,25,15.09
24,26,30.01
24,27,44.85
24,28,59.99
24,29,74.91
24,30,89.94
25,26,14.92
25,27,29.76
25,28,44.9
25,29,59.82
25,30,74.85
25,31,89.86
26,27,14.83
26,28,29.98
26,29,44.9
26,30,59.93
26,31,74.94
26,32,89.81
27,28,15.14
27,29,30.06
27,30,45.1
27,31,60.12
27,32,74.98
27,33,90.15
28,29,14.92
28,30,29.96
28,31,44.98
28,32,59.85
28,33,75.01
28,34,89.9
29,30,15.04
29,31,30.06
29,32,44.94
29,33,60.1
29,34,74.99
29,35,90.46
30,31,15.03
30,32,29.92
30,33,45.07
30,34,59.95
30,35,75.42
30,36,91.42
31,32,14.89
31,33,30.04
31,34,44.93
31,35,60.4
31,36,76.4
31,37,87.06
32,33,15.17
32,34,30.08
32,35,45.55
32,36,61.54
32,37,72.23
32,38,86.17
32,39,89.62
32,40,92.03
32,41,96.55
33,34,14.92
33,35,30.38
33,36,46.38
33,37,57.07
33,38,71.01
33,39,74.76
33,40,77.95
33,41,83.56
33,42,90.79
33,43,99.9
34,35,15.48
34,36,31.47
34,37,42.16
34,38,56.14
34,39,60.48
34,40,64.88
34,41,72.02
34,42,80.86
34,43,91.47
35,36,16.0
35,37,26.71
35,38,40.69
35,39,45.81
35,40,51.91
35,41,61.03
35,42,71.74
35,43,83.96
35,44,96.9
36,37,10.85
36,38,24.72
36,39,31.38
36,40,40.28
36,41,51.98
36,42,64.76
36,43,78.54
36,44,91.63
37,38,14.68
37,39,24.63
37,40,36.59
37,41,50.19
37,42,64.21
37,43,78.83
37,44,91.77
38,39,14.37
38,40,29.1
38,41,44.04
38,42,58.95
38,43,74.15
38,44,86.58
38,45,93.57
39,40,14.94
39,41,29.97
39,42,44.96
39,43,60.21
39,44,72.45
39,45,79.2
39,46,87.94
39,47,98.31
40,41,15.03
40,42,30.03
40,43,45.29
40,44,57.53
40,45,64.69
40,46,74.11
40,47,85.31
40,48,97.95
41,42,15.0
41,43,30.26
41,44,42.53
41,45,50.42
41,46,60.83
41,47,73.11
41,48,86.38
42,43,15.26
42,44,27.71
42,45,37.11
42,46,49.02
42,47,62.67
42,48,76.54
42,49,91.2
43,44,13.09
43,45,25.62
43,46,39.37
43,47,54.34
43,48,68.54
43,49,83.34
43,50,98.59
44,45,15.16
44,46,29.53
44,47,44.93
44,48,59.0
44,49,73.64
44,50,89.3
45,46,14.37
45,47,29.77
45,48,43.85
45,49,58.54
45,50,74.15
45,51,87.7
46,47,15.4
46,48,29.49
46,49,44.2
46,50,59.78
46,51,73.33
46,52,88.77
47,48,14.21
47,49,29.01
47,50,44.42
47,51,57.96
47,52,73.53
47,53,85.92
47,54,96.73
48,49,14.8
48,50,30.31
48,51,43.87
48,52,59.33
48,53,71.72
48,54,82.56
49,50,15.97
49,51,29.45
49,52,44.57
49,53,56.91
49,54,67.76
50,51,13.56
50,52,29.41
50,53,42.26
50,54,53.36
51,52,16.6
51,53,29.76
51,54,40.93
52,53,13.18
52,54,24.35
53,54,11.18
