seg_a,seg_b,dist_m
0,1,17.55
0,2,33.02
0,3,47.18
0,4,62.16
0,5,77.67
0,6,93.04
1,2,15.52
1,3,29.67
1,4,44.68
1,5,60.21
1,6,75.58
1,7,89.92
2,3,14.16
2,4,29.16
2,5,44.69
2,6,60.07
2,7,74.42
2,8,88.83
3,4,15.05
3,5,30.58
3,6,45.95
3,7,60.35
3,8,74.77
3,9,88.37
4,5,15.53
4,6,30.91
4,7,45.29
4,8,59.72
4,9,73.32
4,10,88.12
5,6,15.37
5,7,29.78
5,8,44.21
5,9,57.78
5,10,72.6
5,11,88.23
6,7,14.5
6,8,28.9
6,9,42.42
6,10,57.24
6,11,72.88
6,12,87.48
7,8,14.43
7,9,28.1
7,10,43.16
7,11,58.82
7,12,73.42
7,13,88.99
8,9,13.85
8,10,29.15
8,11,44.74
8,12,59.3
8,13,74.89
8,14,90.37
9,10,15.35
9,11,30.89
9,12,45.44
9,13,61.04
9,14,76.52
9,15,89.56
10,11,15.66
10,12,30.26
10,13,45.83
10,14,61.3
10,15,74.31
10,16,89.68
11,12,14.6
11,13,30.18
11,14,45.65
11,15,58.68
11,16,74.08
11,17,90.28
12,13,15.59
12,14,31.08
12,15,44.13
12,16,59.56
12,17,75.78
12,18,89.06
13,14,15.48
13,15,28.55
13,16,44.0
13,17,60.23
13,18,73.5
13,19,88.71
14,15,13.09
14,16,28.57
14,17,44.8
14,18,58.06
14,19,73.29
14,20,88.5
15,16,15.49
15,17,31.71
15,18,44.97
15,19,60.2
15,20,75.41
15,21,90.52
16,17,16.23
16,18,29.5
16,19,44.72
16,20,59.93
16,21,75.04
16,22,90.27
17,18,13.28
17,19,28.49
17,20,43.7
17,21,58.82
17,22,74.06
17,23,88.67
18,19,15.23
18,20,30.46
18,21,45.6
18,22,60.84
18,23,75.44
18,24,90.48
19,20,15.24
19,21,30.38
19,22,45.62
19,23,60.22
19,24,75.26
19,25,90.69
20,21,15.15
20,22,30.39
20,23,44.98
20,24,60.02
20,25,75.45
20,26,90.12
21,22,15.24
21,23,29.84
21,24,44.89
21,25,60.31
21,26,74.98
21,27,89.92
22,23,14.61
22,24,29.65
22,25,45.07
22,26,59.74
22,27,74.68
22,28,89.52
23,24,15.04
23,25,30.47
23,26,45.14
23,27,60.08
23,28,74.92
23,29,90.05
24,25,15.44
24,26,30.1
24,27,45.04
24,28,59.88
24,29,75.01
24,30,89.57
25,26,14.67
25,27,29.62
25,28,44.46
25,29,59.61
25,30,74.21
25,31,89.04
26,27,14.95
26,28,29.79
26,29,44.95
26,30,59.58
26,31,74.46
26,32,89.65
27,28,14.84
27,29,30.0
27,30,44.65
27,31,59.58
27,32,74.82
27,33,89.57
28,29,15.21
28,30,29.94
28,31,44.95
28,32,60.27
28,33,75.05
28,34,89.46
29,30,14.76
29,31,29.82
29,32,45.19
29,33,59.97
29,34,74.33
29,35,88.85
30,31,15.07
30,32,30.46
30,33,45.23
30,34,59.57
30,35,74.09
30,36,88.78
31,32,15.39
31,33,30.16
31,34,44.52
31,35,59.03
31,36,73.71
31,37,88.71
32,33,14.78
32,34,29.22
32,35,43.67
32,36,58.32
32,37,73.32
32,38,89.06
33,34,14.55
33,35,28.9
33,36,43.55
33,37,58.58
33,38,74.38
33,39,87.58
34,35,14.58
34,36,29.48
34,37,44.66
34,38,60.62
34,39,74.0
34,40,89.02
34,41,97.16
35,36,14.96
35,37,30.17
35,38,46.18
35,39,59.62
35,40,74.73
35,41,82.92
36,37,15.22
36,38,31.24
36,39,44.7
36,40,59.85
36,41,68.07
37,38,16.03
37,39,29.53
37,40,44.74
37,41,52.99
38,39,13.52
38,40,28.77
38,41,37.06
39,40,15.27
39,41,23.56
40,41,8.3
