segment_id,first_frame,last_frame,num_frames,weighted_severity,weighted_uncertainty,weighted_confidence,mean_reliability,mean_detections,severity_std,centroid_lat,centroid_lon,dominant_class,severity_label,reinspection_flag,priority_score,maintenance_action,priority_rank
12,frame_001618.jpg,frame_001708.jpg,91,0.481181,0.552622,0.575635,0.878807,1.23,0.165787,12.91607448,77.52639719,alligator_crack,medium,1,0.56972,schedule,1
13,frame_001709.jpg,frame_001824.jpg,116,0.385313,0.640126,0.496184,0.940469,1.03,0.192038,12.91620972,77.52643523,alligator_crack,medium,1,0.515738,schedule,2
11,frame_001535.jpg,frame_001617.jpg,83,0.46762,0.347445,0.508136,0.681677,1.55,0.104233,12.91594568,77.52637092,alligator_crack,medium,0,0.379451,schedule,3
2,frame_000447.jpg,frame_000596.jpg,150,0.18014,0.552884,0.301368,0.922383,1.62,0.165865,12.9147625,77.52619797,pothole,low,1,0.359031,schedule,4
10,frame_001454.jpg,frame_001534.jpg,81,0.404552,0.45524,0.385689,0.674922,1.89,0.136572,12.91580792,77.52634105,alligator_crack,medium,0,0.351472,schedule,5
31,frame_003440.jpg,frame_003530.jpg,91,0.112893,0.554326,0.166638,0.75556,0.93,0.166298,12.91846525,77.52731042,pothole,low,1,0.312174,schedule,6
38,frame_004165.jpg,frame_004297.jpg,133,0.091693,0.514756,0.111421,0.911645,0.44,0.154427,12.91940242,77.52737338,pothole,low,1,0.291399,monitor,7
33,frame_003642.jpg,frame_003750.jpg,109,0.134138,0.455354,0.216424,0.716632,0.84,0.136606,12.91873396,77.52734855,pothole,low,0,0.1622,monitor,8
1,frame_000296.jpg,frame_000446.jpg,151,0.104674,0.479293,0.161414,0.796487,0.58,0.143788,12.91462401,77.52618043,pothole,low,0,0.145166,monitor,9
0,frame_000000.jpg,frame_000295.jpg,296,0.112461,0.3799,0.275939,0.920548,0.92,0.11397,12.91447013,77.52614461,pothole,low,0,0.135708,monitor,10
8,frame_001131.jpg,frame_001317.jpg,187,0.094423,0.450681,0.152191,0.766476,0.47,0.135204,12.91555938,77.52625562,pothole,low,0,0.133698,monitor,11
32,frame_003531.jpg,frame_003641.jpg,111,0.08938,0.411781,0.175393,0.667846,0.42,0.123534,12.91860277,77.52732669,pothole,low,0,0.124333,monitor,12
15,frame_001977.jpg,frame_002099.jpg,123,0.080385,0.442994,0.130368,0.876767,0.44,0.132898,12.91645406,77.52651601,pothole,low,0,0.122719,monitor,13
21,frame_002601.jpg,frame_002676.jpg,76,0.033937,0.407738,0.03004,0.897412,0.11,0.122321,12.91720737,77.52683271,longitudinal_crack,low,0,0.084917,monitor,14
24,frame_002846.jpg,frame_002919.jpg,74,0.058227,0.29313,0.201496,0.961858,0.38,0.087939,12.9175784,77.52699586,pothole,low,0,0.084728,monitor,15
35,frame_003862.jpg,frame_003976.jpg,115,0.041808,0.368108,0.036243,0.638674,0.1,0.110433,12.91898818,77.52740413,longitudinal_crack,low,0,0.084482,monitor,16
9,frame_001318.jpg,frame_001453.jpg,136,0.032967,0.393655,0.034257,0.920558,0.14,0.118097,12.9156798,77.52628839,pothole,low,0,0.082125,monitor,17
27,frame_003102.jpg,frame_003183.jpg,82,0.036871,0.347779,0.041642,0.930409,0.1,0.104334,12.91794883,77.52716396,longitudinal_crack,low,0,0.077977,monitor,18
36,frame_003977.jpg,frame_004073.jpg,97,0.029268,0.374398,0.021133,0.818695,0.1,0.11232,12.91912257,77.52739834,longitudinal_crack,low,0,0.076647,monitor,19
23,frame_002762.jpg,frame_002845.jpg,84,0.056574,0.236283,0.177222,0.851888,0.55,0.070885,12.91745462,77.52693985,pothole,low,0,0.075044,monitor,20
41,frame_004494.jpg,frame_004500.jpg,7,0.071469,0.100139,0.521798,1.0,0.86,0.030042,12.91972556,77.5272898,pothole,low,0,0.065049,monitor,21
28,frame_003184.jpg,frame_003270.jpg,87,0.026678,0.299751,0.029075,0.917395,0.07,0.089925,12.91807095,77.52721912,longitudinal_crack,low,0,0.063637,monitor,22
40,frame_004406.jpg,frame_004493.jpg,88,0.031753,0.268846,0.104754,0.998666,0.33,0.080654,12.91965435,77.52731277,pothole,low,0,0.062554,monitor,23
26,frame_003011.jpg,frame_003101.jpg,91,0.04344,0.213338,0.215969,0.887992,0.37,0.064001,12.91782393,77.5271128,pothole,low,0,0.062409,monitor,24
