seg_a,seg_b,dist_m
0,1,19.46
0,2,34.16
0,3,48.98
0,4,64.13
0,5,79.25
0,6,94.27
1,2,14.7
1,3,29.53
1,4,44.67
1,5,59.79
1,6,74.81
1,7,89.69
2,3,14.83
2,4,29.97
2,5,45.09
2,6,60.12
2,7,74.99
2,8,89.55
3,4,15.16
3,5,30.27
3,6,45.3
3,7,60.18
3,8,74.73
3,9,89.97
4,5,15.12
4,6,30.15
4,7,45.02
4,8,59.57
4,9,74.82
4,10,89.05
5,6,15.04
5,7,29.91
5,8,44.46
5,9,59.7
5,10,73.99
5,11,87.54
6,7,14.88
6,8,29.43
6,9,44.67
6,10,58.99
6,11,72.68
6,12,86.51
7,8,14.57
7,9,29.79
7,10,44.17
7,11,58.07
7,12,72.15
7,13,86.76
8,9,15.29
8,10,29.93
8,11,44.25
8,12,58.71
8,13,73.57
8,14,88.54
9,10,14.87
9,11,29.6
9,12,44.38
9,13,59.41
9,14,74.51
9,15,89.53
10,11,14.91
10,12,29.8
10,13,44.87
10,14,60.0
10,15,75.05
10,16,89.9
11,12,14.91
11,13,29.97
11,14,45.1
11,15,60.15
11,16,75.01
11,17,89.99
12,13,15.06
12,14,30.19
12,15,45.24
12,16,60.1
12,17,75.09
12,18,90.13
13,14,15.13
13,15,30.18
13,16,45.04
13,17,60.03
13,18,75.07
13,19,89.89
14,15,15.05
14,16,29.91
14,17,44.89
14,18,59.94
14,19,74.76
14,20,89.45
15,16,14.86
15,17,29.84
15,18,44.89
15,19,59.72
15,20,74.45
15,21,88.89
16,17,14.99
16,18,30.04
16,19,44.89
16,20,59.69
16,21,74.22
16,22,88.85
17,18,15.05
17,19,29.94
17,20,44.82
17,21,59.47
17,22,74.23
17,23,89.01
18,19,14.92
18,20,29.93
18,21,44.7
18,22,59.59
18,23,74.45
18,24,89.63
19,20,15.1
19,21,29.97
19,22,44.94
19,23,59.85
19,24,75.04
19,25,90.04
20,21,14.89
20,22,29.88
20,23,44.8
20,24,59.99
20,25,75.0
20,26,90.24
21,22,15.0
21,23,29.92
21,24,45.11
21,25,60.12
21,26,75.36
21,27,89.6
22,23,14.92
22,24,30.11
22,25,45.12
22,26,60.36
22,27,74.6
22,28,90.04
23,24,15.19
23,25,30.2
23,26,45.44
23,27,59.68
23,28,75.12
23,29,89.43
24,25,15.02
24,26,30.25
24,27,44.5
24,28,59.95
24,29,74.27
24,30,89.21
25,26,15.24
25,27,29.48
25,28,44.92
25,29,59.25
25,30,74.21
25,31,89.48
26,27,14.25
26,28,29.7
26,29,44.04
26,30,59.06
26,31,74.38
26,32,88.84
27,28,15.45
27,29,29.81
27,30,44.88
27,31,60.24
27,32,74.72
27,33,89.56
28,29,14.38
28,30,29.55
28,31,44.96
28,32,59.45
28,33,74.28
28,34,89.33
29,30,15.23
29,31,30.65
29,32,45.13
29,33,59.96
29,34,75.01
29,35,90.07
30,31,15.42
30,32,29.91
30,33,44.74
30,34,59.79
30,35,74.85
30,36,89.69
31,32,14.49
31,33,29.33
31,34,44.37
31,35,59.43
31,36,74.26
31,37,89.31
32,33,14.84
32,34,29.88
32,35,44.94
32,36,59.79
32,37,74.84
32,38,89.81
33,34,15.06
33,35,30.12
33,36,44.98
33,37,60.05
33,38,75.01
33,39,90.25
33,40,98.96
34,35,15.06
34,36,29.93
34,37,45.0
34,38,59.96
34,39,75.19
34,40,83.9
35,36,14.88
35,37,29.95
35,38,44.91
35,39,60.13
35,40,68.85
36,37,15.08
36,38,30.04
36,39,45.26
36,40,53.98
37,38,14.97
37,39,30.21
37,40,38.92
38,39,15.25
38,40,23.96
39,40,8.71
