seg_a,seg_b,dist_m
0,1,19.58
0,2,34.53
0,3,49.82
0,4,65.09
0,5,80.05
0,6,94.96
1,2,14.97
1,3,30.26
1,4,45.55
1,5,60.51
1,6,75.42
1,7,90.08
2,3,15.3
2,4,30.58
2,5,45.54
2,6,60.46
2,7,75.11
2,8,89.85
3,4,15.28
3,5,30.24
3,6,45.16
3,7,59.82
3,8,74.56
3,9,89.98
4,5,14.96
4,6,29.88
4,7,44.53
4,8,59.28
4,9,74.71
4,10,89.18
5,6,14.92
5,7,29.58
5,8,44.34
5,9,59.76
5,10,74.22
5,11,89.21
6,7,14.69
6,8,29.47
6,9,44.88
6,10,59.32
6,11,74.3
6,12,89.21
6,13,98.15
7,8,14.79
7,9,30.2
7,10,44.64
7,11,59.64
7,12,74.56
7,13,83.52
8,9,15.43
8,10,29.95
8,11,44.97
8,12,59.91
8,13,68.87
9,10,14.57
9,11,29.59
9,12,44.54
9,13,53.51
10,11,15.02
10,12,29.97
10,13,38.94
11,12,14.95
11,13,23.92
12,13,8.97
