frame,num_detections,total_bbox_area_ratio,mean_bbox_area_ratio,max_bbox_area_ratio,total_crack_length_px,mean_crack_length_px,damage_density,mean_confidence,mean_uncertainty,severity_score,class_counts,blur_score,brightness_score,motion_score,reliability,video,lat,lon,ele,speed_kmh,heading,gps_distance_m
frame_000000.jpg,1,0.015241,0.015241,0.015241,260.52,260.52,0.004787,0.265137,0.0,0.13308,"{""pothole"": 1}",0.7941,1.0,0.9222,0.8815,32,12.9385589,77.55340142,816.87,0.0,102.82,0.0
frame_000001.jpg,1,0.01144,0.01144,0.01144,225.53,225.53,0.004787,0.353027,0.0,0.114427,"{""pothole"": 1}",0.8345,1.0,0.9256,0.9024,32,12.93855859,77.55340282,816.86,0.56,102.82,0.16
frame_000002.jpg,1,0.015248,0.015248,0.015248,260.76,260.76,0.004787,0.334473,0.0,0.133202,"{""pothole"": 1}",0.8428,1.0,0.921,0.9056,32,12.93855828,77.55340421,816.86,1.12,102.82,0.31
frame_000003.jpg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},0.5164,1.0,0.9471,0.7476,32,12.93855797,77.55340561,816.85,1.68,102.82,0.47
frame_000004.jpg,1,0.01501,0.01501,0.01501,254.43,254.43,0.004787,0.323486,0.0,0.13003,"{""pothole"": 1}",0.4643,1.0,0.9757,0.7273,32,12.93855766,77.553407,816.84,2.23,102.82,0.62
frame_000005.jpg,1,0.015521,0.015521,0.015521,256.2,256.2,0.004787,0.297363,0.0,0.131118,"{""pothole"": 1}",0.7695,1.0,0.9579,0.8763,32,12.93855735,77.5534084,816.83,2.79,102.82,0.78
frame_000006.jpg,2,0.044704,0.022352,0.026962,611.54,305.77,0.009574,0.454224,0.131714,0.316393,"{""pothole"": 2}",0.3908,1.0,0.946,0.6846,32,12.93855704,77.55340979,816.82,3.35,102.82,0.93
frame_000007.jpg,1,0.032171,0.032171,0.032171,372.84,372.84,0.004787,0.537109,0.0,0.195098,"{""pothole"": 1}",0.3591,1.0,0.9186,0.6633,32,12.93855673,77.55341119,816.82,3.91,102.82,1.09
frame_000008.jpg,4,0.111938,0.027984,0.051161,1293.47,323.37,0.019148,0.311218,0.052444,0.400563,"{""pothole"": 4}",0.3038,1.0,0.922,0.6363,32,12.93855642,77.55341258,816.81,4.47,102.82,1.24
frame_000009.jpg,1,0.040089,0.040089,0.040089,421.99,421.99,0.004787,0.338867,0.0,0.222465,"{""pothole"": 1}",0.5575,1.0,0.8975,0.7583,32,12.93855611,77.55341398,816.8,5.03,102.82,1.4
frame_000010.jpg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},0.6744,1.0,0.8991,0.817,32,12.9385558,77.55341538,816.79,5.58,102.82,1.55
frame_000011.jpg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},0.5629,1.0,0.8933,0.7601,32,12.9385555,77.55341677,816.78,6.14,102.82,1.71
frame_000012.jpg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},0.5156,1.0,0.8978,0.7374,32,12.93855519,77.55341817,816.77,6.7,102.82,1.86
frame_000013.jpg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},0.6116,1.0,0.896,0.785,32,12.93855488,77.55341956,816.77,7.26,102.82,2.02
frame_000014.jpg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},0.3983,1.0,0.8969,0.6785,32,12.93855457,77.55342096,816.76,7.82,102.82,2.17
frame_000015.jpg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},0.2221,1.0,0.91,0.593,32,12.93855426,77.55342235,816.75,8.38,102.82,2.33
frame_000016.jpg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},0.3191,1.0,0.9155,0.6426,32,12.93855395,77.55342375,816.74,8.93,102.82,2.48
frame_000017.jpg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},0.607,1.0,0.8887,0.7813,32,12.93855364,77.55342515,816.73,9.49,102.82,2.64
frame_000018.jpg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},0.4018,1.0,0.9049,0.6819,32,12.93855333,77.55342654,816.73,10.05,102.82,2.79
