seg_a,seg_b,dist_m
0,1,15.0
0,2,30.06
0,3,44.83
0,4,60.03
0,5,74.96
0,6,90.04
1,2,15.07
1,3,29.85
1,4,45.05
1,5,59.97
1,6,75.05
1,7,90.2
2,3,14.78
2,4,29.98
2,5,44.9
2,6,59.98
2,7,75.13
2,8,90.17
3,4,15.2
3,5,30.12
3,6,45.2
3,7,60.35
3,8,75.39
3,9,90.02
4,5,14.92
4,6,30.0
4,7,45.15
4,8,60.19
4,9,74.82
4,10,89.67
5,6,15.08
5,7,30.23
5,8,45.27
5,9,59.9
5,10,74.75
5,11,89.98
6,7,15.15
6,8,30.19
6,9,44.82
6,10,59.67
6,11,74.9
6,12,89.88
7,8,15.04
7,9,29.67
7,10,44.53
7,11,59.76
7,12,74.74
7,13,89.47
8,9,14.63
8,10,29.48
8,11,44.71
8,12,59.69
8,13,74.43
8,14,89.49
9,10,14.85
9,11,30.09
9,12,45.07
9,13,59.8
9,14,74.87
9,15,90.05
10,11,15.24
10,12,30.21
10,13,44.95
10,14,60.01
10,15,75.2
10,16,90.22
11,12,14.98
11,13,29.71
11,14,44.78
11,15,59.97
11,16,74.99
11,17,89.92
12,13,14.74
12,14,29.8
12,15,44.99
12,16,60.01
12,17,74.94
12,18,90.54
13,14,15.07
13,15,30.25
13,16,45.28
13,17,60.2
13,18,75.81
13,19,89.28
14,15,15.19
14,16,30.21
14,17,45.14
14,18,60.75
14,19,74.21
14,20,89.75
15,16,15.02
15,17,29.95
15,18,45.57
15,19,59.02
15,20,74.56
15,21,89.67
16,17,14.93
16,18,30.55
16,19,44.0
16,20,59.55
16,21,74.66
16,22,89.57
17,18,15.62
17,19,29.07
17,20,44.62
17,21,59.73
17,22,74.64
17,23,89.6
18,19,13.48
18,20,29.0
18,21,44.11
18,22,59.02
18,23,73.98
18,24,89.0
19,20,15.57
19,21,30.7
19,22,45.64
19,23,60.63
19,24,75.69
19,25,90.45
20,21,15.12
20,22,30.06
20,23,45.07
20,24,60.14
20,25,74.91
20,26,90.24
21,22,14.95
21,23,29.98
21,24,45.07
21,25,59.87
21,26,75.24
21,27,89.94
22,23,15.03
22,24,30.13
22,25,44.95
22,26,60.35
22,27,75.06
22,28,85.09
23,24,15.11
23,25,29.93
23,26,45.36
23,27,60.07
23,28,70.07
24,25,14.83
24,26,30.28
24,27,45.0
24,28,54.96
25,26,15.46
25,27,30.18
25,28,40.14
26,27,14.72
26,28,24.84
27,28,10.49
