seg_a,seg_b,dist_m
0,1,19.4
0,2,34.3
0,3,49.18
0,4,64.26
0,5,79.17
0,6,94.14
1,2,14.9
1,3,29.79
1,4,44.89
1,5,59.81
1,6,74.8
1,7,89.82
2,3,14.89
2,4,30.01
2,5,44.94
2,6,59.94
2,7,74.97
2,8,89.93
3,4,15.13
3,5,30.06
3,6,45.08
3,7,60.11
3,8,75.07
3,9,90.19
4,5,14.93
4,6,29.95
4,7,44.98
4,8,59.94
4,9,75.07
4,10,89.87
5,6,15.02
5,7,30.06
5,8,45.02
5,9,60.14
5,10,74.96
5,11,90.06
6,7,15.04
6,8,30.0
6,9,45.12
6,10,59.94
6,11,75.04
6,12,90.24
6,13,97.17
7,8,14.96
7,9,30.08
7,10,44.91
7,11,60.01
7,12,75.23
7,13,82.36
7,14,87.29
7,15,93.49
8,9,15.13
8,10,29.97
8,11,45.08
8,12,60.34
8,13,67.8
8,14,73.62
8,15,81.01
8,16,89.52
8,17,99.97
9,10,14.86
9,11,29.97
9,12,45.27
9,13,53.16
9,14,60.16
9,15,69.06
9,16,79.02
9,17,90.86
10,11,15.11
10,12,30.42
10,13,38.78
10,14,47.28
10,15,57.96
10,16,69.48
10,17,82.68
10,18,95.74
11,12,15.37
11,13,24.91
11,14,36.05
11,15,49.07
11,16,62.29
11,17,76.79
11,18,90.61
12,13,12.15
12,14,26.72
12,15,41.78
12,16,56.24
12,17,71.6
12,18,85.83
13,14,15.23
13,15,30.64
13,16,45.32
13,17,60.83
13,18,75.1
13,19,90.18
14,15,15.43
14,16,30.14
14,17,45.67
14,18,59.93
14,19,74.99
14,20,89.99
15,16,14.72
15,17,30.25
15,18,44.51
15,19,59.56
15,20,74.56
15,21,89.73
16,17,15.53
16,18,29.79
16,19,44.85
16,20,59.86
16,21,75.03
16,22,89.86
17,18,14.27
17,19,29.35
17,20,44.35
17,21,59.53
17,22,74.37
17,23,89.41
18,19,15.09
18,20,30.09
18,21,45.26
18,22,60.1
18,23,75.15
18,24,90.01
19,20,15.0
19,21,30.18
19,22,45.02
19,23,60.07
19,24,74.93
19,25,90.15
20,21,15.18
20,22,30.01
20,23,45.07
20,24,59.93
20,25,75.16
20,26,90.38
21,22,14.84
21,23,29.9
21,24,44.76
21,25,59.99
21,26,75.22
21,27,89.82
22,23,15.07
22,24,29.93
22,25,45.16
22,26,60.39
22,27,74.99
22,28,89.96
23,24,14.86
23,25,30.1
23,26,45.33
23,27,59.92
23,28,74.9
23,29,90.13
24,25,15.23
24,26,30.46
24,27,45.06
24,28,60.03
24,29,75.26
24,30,89.82
25,26,15.23
25,27,29.83
25,28,44.81
25,29,60.03
25,30,74.59
25,31,89.72
26,27,14.6
26,28,29.57
26,29,44.8
26,30,59.36
26,31,74.49
26,32,89.66
27,28,14.97
27,29,30.21
27,30,44.76
27,31,59.89
27,32,75.06
27,33,89.93
28,29,15.25
28,30,29.79
28,31,44.92
28,32,60.09
28,33,74.95
28,34,90.21
29,30,14.56
29,31,29.69
29,32,44.86
29,33,59.72
29,34,74.98
29,35,90.03
30,31,15.13
30,32,30.3
30,33,45.17
30,34,60.43
30,35,75.48
30,36,89.87
31,32,15.17
31,33,30.04
31,34,45.3
31,35,60.35
31,36,74.74
31,37,89.89
32,33,14.87
32,34,30.13
32,35,45.19
32,36,59.58
32,37,74.72
32,38,89.75
33,34,15.26
33,35,30.33
33,36,44.71
33,37,59.85
33,38,74.89
33,39,89.8
34,35,15.07
34,36,29.45
34,37,44.59
34,38,59.63
34,39,74.55
34,40,89.72
35,36,14.39
35,37,29.54
35,38,44.58
35,39,59.51
35,40,74.68
35,41,89.69
36,37,15.15
36,38,30.19
36,39,45.12
36,40,60.28
36,41,75.29
36,42,90.29
37,38,15.04
37,39,29.97
37,40,45.13
37,41,60.14
37,42,75.14
37,43,89.89
38,39,14.93
38,40,30.09
38,41,45.1
38,42,60.1
38,43,74.85
38,44,85.57
38,45,90.87
38,46,95.56
39,40,15.18
39,41,30.19
39,42,45.18
39,43,59.94
39,44,70.85
39,45,76.76
