seg_a,seg_b,dist_m
0,1,20.76
0,2,35.18
0,3,50.08
0,4,65.04
0,5,80.27
0,6,94.77
1,2,14.42
1,3,29.32
1,4,44.3
1,5,59.52
1,6,74.02
1,7,89.43
2,3,14.91
2,4,29.89
2,5,45.11
2,6,59.6
2,7,75.02
2,8,89.61
3,4,14.98
3,5,30.2
3,6,44.69
3,7,60.11
3,8,74.71
3,9,89.8
4,5,15.22
4,6,29.72
4,7,45.13
4,8,59.73
4,9,74.82
4,10,89.82
5,6,14.5
5,7,29.91
5,8,44.52
5,9,59.62
5,10,74.6
5,11,89.39
5,12,93.52
5,13,96.2
6,7,15.44
6,8,30.06
6,9,45.16
6,10,60.13
6,11,74.93
6,12,79.38
6,13,82.76
6,14,88.8
6,15,98.28
7,8,14.62
7,9,29.73
7,10,44.69
7,11,59.5
7,12,64.19
7,13,68.38
7,14,75.43
7,15,86.27
7,16,95.49
8,9,15.11
8,10,30.1
8,11,44.88
8,12,49.87
8,13,55.14
8,14,63.45
8,15,75.81
8,16,86.28
8,17,94.07
9,10,15.05
9,11,29.77
9,12,35.4
9,13,42.56
9,14,52.64
9,15,66.84
9,16,78.67
9,17,87.07
10,11,14.9
10,12,22.99
10,13,33.81
10,14,46.12
10,15,62.12
10,16,75.2
10,17,84.05
11,12,12.93
11,13,27.28
11,14,40.81
11,15,57.66
11,16,71.47
11,17,80.49
12,13,14.63
12,14,28.16
12,15,45.02
12,16,58.91
12,17,67.92
13,14,13.55
13,15,30.41
13,16,44.28
13,17,53.3
14,15,16.87
14,16,30.75
14,17,39.76
15,16,13.93
15,17,22.91
16,17,9.02
