seg_a,seg_b,dist_m
0,1,14.3
0,2,23.34
0,3,33.72
0,4,45.97
0,5,58.92
0,6,73.05
0,7,87.91
1,2,11.92
1,3,26.69
1,4,41.19
1,5,55.64
1,6,70.48
1,7,85.59
2,3,15.88
2,4,30.83
2,5,45.63
2,6,60.57
2,7,75.61
2,8,90.56
3,4,14.97
3,5,29.81
3,6,44.74
3,7,59.75
3,8,74.69
3,9,89.7
4,5,14.87
4,6,29.78
4,7,44.78
4,8,59.73
4,9,74.74
4,10,90.34
5,6,14.93
5,7,30.0
5,8,44.98
5,9,59.98
5,10,75.54
5,11,89.16
6,7,15.1
6,8,30.09
6,9,45.07
6,10,60.62
6,11,74.23
6,12,88.87
6,13,98.49
7,8,14.99
7,9,29.98
7,10,45.55
7,11,59.23
7,12,73.96
7,13,83.63
8,9,15.01
8,10,30.63
8,11,44.41
8,12,59.25
8,13,68.98
9,10,15.66
9,11,29.52
9,12,44.45
9,13,54.24
10,11,13.93
10,12,28.92
10,13,38.74
11,12,15.0
11,13,24.82
12,13,9.83
