seg_a,seg_b,dist_m
0,1,17.31
0,2,32.94
0,3,47.7
0,4,62.57
0,5,77.36
0,6,92.64
1,2,15.66
1,3,30.45
1,4,45.36
1,5,60.15
1,6,75.41
1,7,90.07
2,3,14.8
2,4,29.72
2,5,44.51
2,6,59.75
2,7,74.42
2,8,89.48
3,4,14.91
3,5,29.71
3,6,44.96
3,7,59.62
3,8,74.68
3,9,89.25
4,5,14.8
4,6,30.07
4,7,44.72
4,8,59.77
4,9,74.34
4,10,89.65
5,6,15.31
5,7,29.94
5,8,44.98
5,9,59.55
5,10,74.85
5,11,90.05
6,7,14.66
6,8,29.74
6,9,44.33
6,10,59.64
6,11,74.84
6,12,89.84
7,8,15.08
7,9,29.67
7,10,44.99
7,11,60.18
7,12,75.19
7,13,89.93
8,9,14.6
8,10,29.91
8,11,45.11
8,12,60.11
8,13,74.86
8,14,89.82
9,10,15.32
9,11,30.51
9,12,45.52
9,13,60.26
9,14,75.22
9,15,90.15
10,11,15.2
10,12,30.21
10,13,44.95
10,14,59.91
10,15,74.84
10,16,89.94
11,12,15.01
11,13,29.75
11,14,44.71
11,15,59.64
11,16,74.74
11,17,89.71
12,13,14.74
12,14,29.71
12,15,44.63
12,16,59.73
12,17,74.71
12,18,89.48
13,14,14.96
13,15,29.89
13,16,44.99
13,17,59.99
13,18,74.78
13,19,89.74
14,15,14.93
14,16,30.05
14,17,45.07
14,18,59.89
14,19,74.88
14,20,89.86
15,16,15.12
15,17,30.17
15,18,45.02
15,19,60.04
15,20,75.07
15,21,89.92
16,17,15.06
16,18,29.94
16,19,44.98
16,20,60.04
16,21,74.93
16,22,89.95
17,18,14.88
17,19,29.94
17,20,45.01
17,21,59.94
17,22,74.99
17,23,89.7
18,19,15.05
18,20,30.14
18,21,45.08
18,22,60.16
18,23,74.9
18,24,89.88
19,20,15.1
19,21,30.05
19,22,45.15
19,23,59.93
19,24,74.94
19,25,89.82
20,21,14.97
20,22,30.08
20,23,44.88
20,24,59.93
20,25,74.83
20,26,89.99
21,22,15.12
21,23,29.93
21,24,45.01
21,25,59.94
21,26,75.12
21,27,89.82
22,23,14.82
22,24,29.91
22,25,44.86
22,26,60.07
22,27,74.8
22,28,89.5
23,24,15.11
23,25,30.06
23,26,45.28
23,27,60.04
23,28,74.77
23,29,90.03
24,25,14.95
24,26,30.18
24,27,44.95
24,28,59.71
24,29,75.0
24,30,89.48
25,26,15.23
25,27,30.02
25,28,44.8
25,29,60.12
25,30,74.63
25,31,89.83
26,27,14.79
26,28,29.6
26,29,44.94
26,30,59.48
26,31,74.69
26,32,89.69
27,28,14.81
27,29,30.18
27,30,44.73
27,31,59.95
27,32,74.97
27,33,89.88
28,29,15.37
28,30,29.94
28,31,45.16
28,32,60.18
28,33,75.1
28,34,90.25
29,30,14.56
29,31,29.79
29,32,44.81
29,33,59.73
29,34,74.88
29,35,89.62
30,31,15.23
30,32,30.25
30,33,45.17
30,34,60.31
30,35,75.06
30,36,90.15
31,32,15.02
31,33,29.94
31,34,45.09
31,35,59.83
31,36,74.93
31,37,90.0
32,33,14.92
32,34,30.06
32,35,44.81
32,36,59.91
32,37,74.98
32,38,90.01
33,34,15.14
33,35,29.89
33,36,44.98
33,37,60.06
33,38,75.09
33,39,90.13
34,35,14.75
34,36,29.84
34,37,44.91
34,38,59.95
34,39,74.99
34,40,90.27
35,36,15.1
35,37,30.17
35,38,45.2
35,39,60.24
35,40,75.52
35,41,89.98
36,37,15.07
36,38,30.11
36,39,45.15
36,40,60.43
36,41,74.88
36,42,89.68
37,38,15.04
37,39,30.08
37,40,45.36
37,41,59.81
37,42,74.61
37,43,90.05
38,39,15.04
38,40,30.32
38,41,44.77
38,42,59.57
38,43,75.0
38,44,89.76
39,40,15.28
39,41,29.73
39,42,44.53
39,43,59.98
39,44,74.74
39,45,89.72
40,41,14.45
40,42,29.25
40,43,44.7
40,44,59.47
40,45,74.46
40,46,89.53
41,42,14.8
41,43,30.27
41,44,45.05
41,45,60.04
41,46,75.11
41,47,90.01
42,43,15.51
42,44,30.29
42,45,45.28
42,46,60.35
42,47,75.24
42,48,90.11
43,44,14.79
43,45,29.78
43,46,44.85
43,47,59.74
43,48,74.63
43,49,89.74
44,45,14.99
44,46,30.06
44,47,44.97
44,48,59.87
44,49,74.99
44,50,90.06
45,46,15.07
45,47,29.99
45,48,44.9
45,49,60.03
45,50,75.11
45,51,85.73
46,47,14.93
46,48,29.85
46,49,44.99
46,50,60.08
46,51,70.7
47,48,14.92
47,49,30.07
47,50,45.16
47,51,55.78
48,49,15.14
48,50,30.24
48,51,40.86
49,50,15.09
49,51,25.72
50,51,10.62
