frame,blur_score,brightness_score,motion_score,reliability
frame_000000.jpg,1.0,1.0,1.0,1.0
frame_000001.jpg,1.0,1.0,1.0,1.0
frame_000002.jpg,1.0,1.0,1.0,1.0
frame_000003.jpg,1.0,1.0,1.0,1.0
frame_000004.jpg,1.0,1.0,1.0,1.0
frame_000005.jpg,1.0,1.0,1.0,1.0
frame_000006.jpg,1.0,1.0,1.0,1.0
frame_000007.jpg,1.0,1.0,1.0,1.0
frame_000008.jpg,1.0,1.0,1.0,1.0
frame_000009.jpg,1.0,1.0,1.0,1.0
frame_000010.jpg,1.0,1.0,1.0,1.0
frame_000011.jpg,1.0,1.0,1.0,1.0
frame_000012.jpg,1.0,1.0,1.0,1.0
frame_000013.jpg,1.0,1.0,1.0,1.0
frame_000014.jpg,1.0,1.0,1.0,1.0
frame_000015.jpg,1.0,1.0,1.0,1.0
frame_000016.jpg,1.0,1.0,1.0,1.0
frame_000017.jpg,0.9434,1.0,1.0,0.9717
frame_000018.jpg,0.9555,1.0,1.0,0.9778
frame_000019.jpg,1.0,1.0,1.0,1.0
frame_000020.jpg,0.9836,1.0,1.0,0.9918
frame_000021.jpg,1.0,1.0,1.0,1.0
frame_000022.jpg,1.0,1.0,1.0,1.0
frame_000023.jpg,0.9425,1.0,1.0,0.9712
frame_000024.jpg,0.8786,1.0,1.0,0.9393
frame_000025.jpg,0.95,1.0,1.0,0.975
frame_000026.jpg,1.0,1.0,1.0,1.0
frame_000027.jpg,1.0,1.0,1.0,1.0
frame_000028.jpg,1.0,1.0,1.0,1.0
frame_000029.jpg,1.0,1.0,1.0,1.0
frame_000030.jpg,1.0,1.0,1.0,1.0
frame_000031.jpg,1.0,1.0,1.0,1.0
frame_000032.jpg,0.9801,1.0,1.0,0.9901
frame_000033.jpg,0.9987,1.0,1.0,0.9994
frame_000034.jpg,1.0,1.0,1.0,1.0
frame_000035.jpg,1.0,1.0,1.0,1.0
frame_000036.jpg,1.0,1.0,1.0,1.0
frame_000037.jpg,1.0,1.0,1.0,1.0
frame_000038.jpg,1.0,1.0,1.0,1.0
frame_000039.jpg,1.0,1.0,1.0,1.0
frame_000040.jpg,1.0,1.0,1.0,1.0
frame_000041.jpg,1.0,1.0,1.0,1.0
frame_000042.jpg,1.0,1.0,1.0,1.0
frame_000043.jpg,1.0,1.0,1.0,1.0
frame_000044.jpg,1.0,1.0,1.0,1.0
frame_000045.jpg,1.0,1.0,1.0,1.0
frame_000046.jpg,1.0,1.0,1.0,1.0
frame_000047.jpg,1.0,1.0,1.0,1.0
frame_000048.jpg,1.0,1.0,1.0,1.0
frame_000049.jpg,1.0,1.0,1.0,1.0
frame_000050.jpg,1.0,1.0,1.0,1.0
frame_000051.jpg,1.0,1.0,1.0,1.0
frame_000052.jpg,1.0,1.0,1.0,1.0
frame_000053.jpg,1.0,1.0,1.0,1.0
frame_000054.jpg,1.0,1.0,1.0,1.0
frame_000055.jpg,1.0,1.0,1.0,1.0
frame_000056.jpg,1.0,1.0,1.0,1.0
frame_000057.jpg,1.0,1.0,1.0,1.0
frame_000058.jpg,1.0,1.0,1.0,1.0
frame_000059.jpg,1.0,1.0,1.0,1.0
frame_000060.jpg,1.0,1.0,1.0,1.0
frame_000061.jpg,1.0,1.0,1.0,1.0
frame_000062.jpg,1.0,1.0,1.0,1.0
frame_000063.jpg,1.0,1.0,1.0,1.0
frame_000064.jpg,1.0,1.0,1.0,1.0
frame_000065.jpg,1.0,1.0,1.0,1.0
frame_000066.jpg,1.0,1.0,1.0,1.0
frame_000067.jpg,1.0,1.0,1.0,1.0
frame_000068.jpg,1.0,1.0,1.0,1.0
frame_000069.jpg,1.0,1.0,1.0,1.0
frame_000070.jpg,1.0,1.0,1.0,1.0
frame_000071.jpg,0.8769,1.0,1.0,0.9385
frame_000072.jpg,0.8554,1.0,1.0,0.9277
frame_000073.jpg,0.9124,1.0,1.0,0.9562
frame_000074.jpg,0.9183,1.0,1.0,0.9591
frame_000075.jpg,0.9133,1.0,1.0,0.9567
frame_000076.jpg,0.9326,1.0,1.0,0.9663
frame_000077.jpg,0.9474,1.0,1.0,0.9737
frame_000078.jpg,0.9433,1.0,1.0,0.9717
frame_000079.jpg,0.8637,1.0,1.0,0.9319
frame_000080.jpg,0.8854,1.0,1.0,0.9427
frame_000081.jpg,0.8874,1.0,1.0,0.9437
frame_000082.jpg,0.8544,1.0,1.0,0.9272
frame_000083.jpg,0.9236,1.0,1.0,0.9618
frame_000084.jpg,0.8699,1.0,1.0,0.935
frame_000085.jpg,0.8947,1.0,1.0,0.9473
frame_000086.jpg,0.8931,1.0,1.0,0.9466
frame_000087.jpg,0.8548,1.0,1.0,0.9274
frame_000088.jpg,0.7662,1.0,1.0,0.8831
frame_000089.jpg,0.8497,1.0,1.0,0.9248
frame_000090.jpg,0.9505,1.0,1.0,0.9752
frame_000091.jpg,0.8441,1.0,1.0,0.9221
frame_000092.jpg,0.7267,1.0,1.0,0.8634
frame_000093.jpg,0.7253,1.0,1.0,0.8626
frame_000094.jpg,0.8683,1.0,1.0,0.9341
frame_000095.jpg,0.8502,1.0,1.0,0.9251
frame_000096.jpg,0.6198,1.0,1.0,0.8099
frame_000097.jpg,0.4727,1.0,1.0,0.7363
frame_000098.jpg,0.7666,1.0,1.0,0.8833
frame_000099.jpg,0.8441,1.0,1.0,0.9221
frame_000100.jpg,0.6477,1.0,1.0,0.8238
frame_000101.jpg,0.7204,1.0,1.0,0.8602
frame_000102.jpg,0.7964,1.0,1.0,0.8982
frame_000103.jpg,0.8048,1.0,1.0,0.9024
frame_000104.jpg,0.6739,1.0,1.0,0.837
frame_000105.jpg,0.5596,1.0,1.0,0.7798
frame_000106.jpg,0.5578,1.0,1.0,0.7789
frame_000107.jpg,0.5371,1.0,1.0,0.7685
frame_000108.jpg,0.6395,1.0,1.0,0.8198
frame_000109.jpg,0.763,1.0,1.0,0.8815
frame_000110.jpg,0.7646,1.0,1.0,0.8823
frame_000111.jpg,0.6873,1.0,1.0,0.8436
frame_000112.jpg,0.677,1.0,1.0,0.8385
frame_000113.jpg,0.7709,1.0,1.0,0.8854
frame_000114.jpg,0.8035,1.0,1.0,0.9018
frame_000115.jpg,0.9048,1.0,1.0,0.9524
frame_000116.jpg,0.7962,1.0,1.0,0.8981
frame_000117.jpg,0.4778,1.0,1.0,0.7389
frame_000118.jpg,0.624,1.0,1.0,0.812
frame_000119.jpg,0.7408,1.0,1.0,0.8704
frame_000120.jpg,0.8803,1.0,1.0,0.9401
frame_000121.jpg,0.8509,1.0,1.0,0.9254
frame_000122.jpg,0.8609,1.0,1.0,0.9305
frame_000123.jpg,0.7306,1.0,1.0,0.8653
frame_000124.jpg,0.7115,1.0,1.0,0.8558
frame_000125.jpg,0.8716,1.0,1.0,0.9358
frame_000126.jpg,0.8822,1.0,1.0,0.9411
frame_000127.jpg,0.9329,1.0,1.0,0.9664
frame_000128.jpg,1.0,1.0,1.0,1.0
frame_000129.jpg,1.0,1.0,1.0,1.0
frame_000130.jpg,1.0,1.0,1.0,1.0
frame_000131.jpg,1.0,1.0,1.0,1.0
frame_000132.jpg,1.0,1.0,1.0,1.0
frame_000133.jpg,1.0,1.0,1.0,1.0
frame_000134.jpg,1.0,1.0,1.0,1.0
frame_000135.jpg,1.0,1.0,1.0,1.0
frame_000136.jpg,1.0,1.0,1.0,1.0
frame_000137.jpg,1.0,1.0,1.0,1.0
frame_000138.jpg,1.0,1.0,1.0,1.0
frame_000139.jpg,1.0,1.0,1.0,1.0
frame_000140.jpg,1.0,1.0,1.0,1.0
frame_000141.jpg,1.0,1.0,1.0,1.0
frame_000142.jpg,1.0,1.0,1.0,1.0
frame_000143.jpg,1.0,1.0,1.0,1.0
frame_000144.jpg,1.0,1.0,1.0,1.0
frame_000145.jpg,1.0,1.0,1.0,1.0
frame_000146.jpg,1.0,1.0,1.0,1.0
frame_000147.jpg,1.0,1.0,1.0,1.0
frame_000148.jpg,1.0,1.0,1.0,1.0
frame_000149.jpg,1.0,1.0,1.0,1.0
frame_000150.jpg,1.0,1.0,1.0,1.0
frame_000151.jpg,1.0,1.0,1.0,1.0
frame_000152.jpg,1.0,1.0,1.0,1.0
frame_000153.jpg,1.0,1.0,1.0,1.0
frame_000154.jpg,1.0,1.0,1.0,1.0
frame_000155.jpg,1.0,1.0,1.0,1.0
frame_000156.jpg,1.0,1.0,1.0,1.0
frame_000157.jpg,1.0,1.0,1.0,1.0
frame_000158.jpg,1.0,1.0,1.0,1.0
frame_000159.jpg,1.0,1.0,1.0,1.0
frame_000160.jpg,1.0,1.0,1.0,1.0
frame_000161.jpg,1.0,1.0,0.9467,0.9893
frame_000162.jpg,1.0,1.0,0.8658,0.9732
frame_000163.jpg,1.0,1.0,0.7549,0.951
frame_000164.jpg,1.0,1.0,0.6695,0.9339
frame_000165.jpg,1.0,1.0,0.588,0.9176
frame_000166.jpg,0.8739,1.0,0.5302,0.843
frame_000167.jpg,0.7435,1.0,0.5,0.7718
frame_000168.jpg,0.8347,1.0,0.4978,0.8169
frame_000169.jpg,0.8645,1.0,0.5122,0.8347
frame_000170.jpg,0.8724,1.0,0.5224,0.8407
frame_000171.jpg,0.9512,1.0,0.6085,0.8973
frame_000172.jpg,1.0,1.0,0.7977,0.9595
frame_000173.jpg,1.0,1.0,0.8432,0.9686
frame_000174.jpg,1.0,1.0,0.801,0.9602
frame_000175.jpg,1.0,1.0,0.8676,0.9735
frame_000176.jpg,1.0,1.0,0.9542,0.9908
frame_000177.jpg,1.0,1.0,1.0,1.0
frame_000178.jpg,1.0,1.0,1.0,1.0
frame_000179.jpg,1.0,1.0,0.9766,0.9953
frame_000180.jpg,1.0,1.0,0.9738,0.9948
frame_000181.jpg,1.0,1.0,0.983,0.9966
frame_000182.jpg,1.0,1.0,1.0,1.0
frame_000183.jpg,1.0,1.0,1.0,1.0
frame_000184.jpg,1.0,1.0,1.0,1.0
frame_000185.jpg,1.0,1.0,1.0,1.0
frame_000186.jpg,1.0,1.0,1.0,1.0
frame_000187.jpg,1.0,1.0,1.0,1.0
frame_000188.jpg,1.0,1.0,1.0,1.0
frame_000189.jpg,1.0,1.0,1.0,1.0
frame_000190.jpg,1.0,1.0,1.0,1.0
frame_000191.jpg,1.0,1.0,1.0,1.0
frame_000192.jpg,1.0,1.0,1.0,1.0
frame_000193.jpg,1.0,1.0,1.0,1.0
frame_000194.jpg,1.0,1.0,1.0,1.0
frame_000195.jpg,1.0,1.0,1.0,1.0
frame_000196.jpg,1.0,1.0,1.0,1.0
frame_000197.jpg,1.0,1.0,1.0,1.0
frame_000198.jpg,1.0,1.0,1.0,1.0
frame_000199.jpg,1.0,1.0,1.0,1.0
frame_000200.jpg,1.0,1.0,1.0,1.0
frame_000201.jpg,1.0,1.0,1.0,1.0
