segment_id,first_frame,last_frame,num_frames,weighted_severity,weighted_uncertainty,weighted_confidence,mean_reliability,mean_detections,severity_std,centroid_lat,centroid_lon,dominant_class,severity_label,reinspection_flag,priority_score,maintenance_action,priority_rank
11,frame_001022.jpg,frame_001084.jpg,63,0.250075,0.623345,0.268561,0.954756,0.9,0.187003,12.90215951,77.53739054,pothole,medium,1,0.418554,schedule,1
12,frame_001085.jpg,frame_001155.jpg,71,0.102257,0.590627,0.124502,0.973596,0.28,0.177188,12.90209259,77.53751223,pothole,low,1,0.310174,schedule,2
4,frame_000541.jpg,frame_000612.jpg,72,0.061312,0.452951,0.058982,0.990318,0.17,0.135885,12.90261114,77.53654017,longitudinal_crack,low,0,0.110861,monitor,3
10,frame_000959.jpg,frame_001021.jpg,63,0.046604,0.416721,0.038688,0.928571,0.13,0.125016,12.90221701,77.53726519,transverse_crack,low,0,0.095131,monitor,4
5,frame_000613.jpg,frame_000680.jpg,68,0.034008,0.366507,0.032851,0.942051,0.09,0.109952,12.9025461,77.53666349,longitudinal_crack,low,0,0.078782,monitor,5
25,frame_001994.jpg,frame_002095.jpg,102,0.03071,0.3547,0.037342,0.872164,0.11,0.10641,12.90128436,77.53911118,alligator_crack,low,0,0.074702,monitor,6
7,frame_000753.jpg,frame_000825.jpg,73,0.030259,0.333477,0.024333,0.944967,0.08,0.100043,12.9024121,77.53690336,longitudinal_crack,low,0,0.071203,monitor,7
19,frame_001610.jpg,frame_001668.jpg,59,0.029401,0.310744,0.031811,0.872286,0.1,0.093223,12.90164356,77.53836078,transverse_crack,low,0,0.067192,monitor,8
26,frame_002096.jpg,frame_002241.jpg,146,0.025476,0.3254,0.026592,0.910486,0.05,0.09762,12.90131905,77.53920315,alligator_crack,low,0,0.066643,monitor,9
17,frame_001487.jpg,frame_001548.jpg,62,0.022864,0.290489,0.021574,0.924594,0.06,0.087147,12.90177627,77.53812089,transverse_crack,low,0,0.059578,monitor,10
6,frame_000681.jpg,frame_000752.jpg,72,0.020153,0.276126,0.016742,0.996879,0.06,0.082838,12.90247798,77.53678277,longitudinal_crack,low,0,0.055526,monitor,11
0,frame_000000.jpg,frame_000306.jpg,307,0.023181,0.245216,0.05849,0.964845,0.14,0.073565,12.90278613,77.53602229,pothole,low,0,0.053009,monitor,12
27,frame_002242.jpg,frame_002333.jpg,92,0.012563,0.216159,0.010097,0.947698,0.03,0.064848,12.90145032,77.53918264,alligator_crack,low,0,0.041218,monitor,13
21,frame_001728.jpg,frame_001789.jpg,62,0.009693,0.208683,0.01337,0.825687,0.03,0.062605,12.90151058,77.53860413,longitudinal_crack,low,0,0.038088,monitor,14
30,frame_002505.jpg,frame_002605.jpg,101,0.010694,0.195333,0.008317,0.94902,0.03,0.0586,12.90181868,77.53901621,alligator_crack,low,0,0.036786,monitor,15
13,frame_001156.jpg,frame_001263.jpg,108,0.00957,0.19225,0.00836,0.990007,0.03,0.057675,12.90202065,77.53763284,pothole,low,0,0.035536,monitor,16
20,frame_001669.jpg,frame_001727.jpg,59,0.007949,0.161548,0.014918,0.815651,0.03,0.048464,12.90157325,77.53848013,longitudinal_crack,low,0,0.029796,monitor,17
3,frame_000469.jpg,frame_000540.jpg,72,0.005346,0.150162,0.00435,1.0,0.01,0.045049,12.90267144,77.53641743,longitudinal_crack,low,0,0.026266,monitor,18
1,frame_000307.jpg,frame_000395.jpg,89,0.004393,0.133133,0.002935,0.969283,0.01,0.03994,12.90279772,77.53616928,longitudinal_crack,low,0,0.023045,monitor,19
31,frame_002606.jpg,frame_002703.jpg,98,0.003376,0.106616,0.002748,0.961885,0.01,0.031985,12.90195039,77.53903954,pothole,low,0,0.018356,monitor,20
2,frame_000396.jpg,frame_000468.jpg,73,0.0,0.0,0.0,0.999256,0.0,0.0,12.90273076,77.53629488,none,low,0,0.0,monitor,21
14,frame_001264.jpg,frame_001356.jpg,93,0.0,0.0,0.0,0.997017,0.0,0.0,12.9019632,77.53774804,none,low,0,0.0,monitor,21
9,frame_000896.jpg,frame_000958.jpg,63,0.0,0.0,0.0,0.965387,0.0,0.0,12.90227899,77.53714094,none,low,0,0.0,monitor,21
8,frame_000826.jpg,frame_000895.jpg,70,0.0,0.0,0.0,0.922236,0.0,0.0,12.90234184,77.53701834,none,low,0,0.0,monitor,21
15,frame_001357.jpg,frame_001425.jpg,69,0.0,0.0,0.0,1.0,0.0,0.0,12.90190402,77.53787287,none,low,0,0.0,monitor,21
22,frame_001790.jpg,frame_001856.jpg,67,0.0,0.0,0.0,0.786306,0.0,0.0,12.90145402,77.53872873,none,low,0,0.0,monitor,21
16,frame_001426.jpg,frame_001486.jpg,61,0.0,0.0,0.0,0.962428,0.0,0.0,12.90184079,77.53799901,none,low,0,0.0,monitor,21
18,frame_001549.jpg,frame_001609.jpg,61,0.0,0.0,0.0,0.961605,0.0,0.0,12.90171152,77.53824279,none,low,0,0.0,monitor,21
23,frame_001857.jpg,frame_001918.jpg,62,0.0,0.0,0.0,0.723035,0.0,0.0,12.90139397,77.5388508,none,low,0,0.0,monitor,21
24,frame_001919.jpg,frame_001993.jpg,75,0.0,0.0,0.0,0.754308,0.0,0.0,12.90133615,77.53897899,none,low,0,0.0,monitor,21
29,frame_002407.jpg,frame_002504.jpg,98,0.0,0.0,0.0,0.984099,0.0,0.0,12.90170135,77.53906209,none,low,0,0.0,monitor,21
28,frame_002334.jpg,frame_002406.jpg,73,0.0,0.0,0.0,0.873993,0.0,0.0,12.90157554,77.53913177,none,low,0,0.0,monitor,21
32,frame_002704.jpg,frame_002796.jpg,93,0.0,0.0,0.0,0.973947,0.0,0.0,12.90206422,77.53910579,none,low,0,0.0,monitor,21
