seg_a,seg_b,dist_m
0,1,19.06
0,2,34.0
0,3,46.96
0,4,59.09
0,5,71.21
0,6,84.91
0,7,98.74
1,2,15.14
1,3,28.98
1,4,42.41
1,5,55.76
1,6,70.56
1,7,84.98
1,8,99.33
2,3,14.56
2,4,28.96
2,5,43.11
2,6,58.54
2,7,73.2
2,8,87.7
3,4,14.7
3,5,29.13
3,6,44.77
3,7,59.45
3,8,73.94
3,9,89.4
4,5,14.47
4,6,30.15
4,7,44.81
4,8,59.29
4,9,74.72
4,10,89.9
5,6,15.69
5,7,30.34
5,8,44.82
5,9,60.27
5,10,75.46
5,11,89.79
6,7,14.68
6,8,29.19
6,9,44.67
6,10,59.92
6,11,74.23
6,12,88.31
6,13,96.98
7,8,14.51
7,9,30.0
7,10,45.27
7,11,59.57
7,12,73.63
7,13,82.48
7,14,90.68
8,9,15.5
8,10,30.8
8,11,45.08
8,12,59.15
8,13,68.27
8,14,77.14
8,15,87.44
8,16,98.82
9,10,15.31
9,11,29.58
9,12,43.81
9,13,53.56
9,14,63.6
9,15,75.04
9,16,87.47
10,11,14.34
10,12,29.1
10,13,40.11
10,14,51.96
10,15,64.85
10,16,78.45
10,17,92.71
11,12,15.39
11,13,27.9
11,14,41.63
11,15,55.76
11,16,70.26
11,17,85.08
11,18,99.94
12,13,13.64
12,14,28.75
12,15,43.57
12,16,58.55
12,17,73.61
12,18,88.64
13,14,15.41
13,15,30.32
13,16,45.37
13,17,60.44
13,18,75.48
13,19,90.3
14,15,14.91
14,16,29.96
14,17,45.04
14,18,60.07
14,19,74.89
14,20,89.96
15,16,15.05
15,17,30.12
15,18,45.16
15,19,59.97
15,20,75.05
15,21,89.7
16,17,15.08
16,18,30.11
16,19,44.93
16,20,60.0
16,21,74.66
16,22,89.82
17,18,15.04
17,19,29.85
17,20,44.93
17,21,59.58
17,22,74.74
17,23,89.97
18,19,14.82
18,20,29.89
18,21,44.55
18,22,59.71
18,23,74.93
18,24,88.69
19,20,15.07
19,21,29.76
19,22,44.92
19,23,60.14
19,24,73.88
19,25,90.05
20,21,14.72
20,22,29.88
20,23,45.09
20,24,58.82
20,25,74.99
20,26,88.96
21,22,15.17
21,23,30.39
21,24,44.14
21,25,60.3
21,26,74.29
21,27,89.38
22,23,15.22
22,24,29.0
22,25,45.14
22,26,59.14
22,27,74.24
22,28,89.19
23,24,13.82
23,25,29.92
23,26,43.93
23,27,59.04
23,28,73.98
23,29,88.95
24,25,16.2
24,26,30.15
24,27,45.24
24,28,60.19
24,29,75.14
24,30,90.27
25,26,14.06
25,27,29.17
25,28,44.11
25,29,59.09
25,30,74.24
25,31,88.7
26,27,15.11
26,28,30.06
26,29,45.03
26,30,60.18
26,31,74.65
26,32,90.13
27,28,14.95
27,29,29.92
27,30,45.07
27,31,59.54
27,32,75.02
27,33,90.2
28,29,14.98
28,30,30.14
28,31,44.61
28,32,60.1
28,33,75.28
28,34,89.67
29,30,15.16
29,31,29.62
29,32,45.11
29,33,60.3
29,34,74.69
29,35,91.09
30,31,14.47
30,32,29.96
30,33,45.14
30,34,59.53
30,35,75.93
30,36,89.45
31,32,15.49
31,33,30.68
31,34,45.08
31,35,61.48
31,36,75.01
31,37,90.47
32,33,15.2
32,34,29.6
32,35,46.01
32,36,59.53
32,37,75.0
32,38,88.94
33,34,14.4
33,35,30.81
33,36,44.34
33,37,59.8
33,38,73.75
33,39,88.63
34,35,16.41
34,36,29.94
34,37,45.4
34,38,59.34
34,39,74.23
34,40,90.08
35,36,13.53
35,37,28.99
35,38,42.93
35,39,57.82
35,40,73.67
35,41,88.41
36,37,15.47
36,38,29.41
36,39,44.29
36,40,60.15
36,41,74.88
36,42,90.38
37,38,13.95
37,39,28.83
37,40,44.71
37,41,59.45
37,42,74.94
37,43,86.66
38,39,14.9
38,40,30.81
38,41,45.54
38,42,61.03
38,43,72.74
39,40,15.92
39,41,30.64
39,42,46.12
39,43,57.84
40,41,14.74
40,42,30.24
40,43,41.96
41,42,15.5
41,43,27.22
42,43,11.72
