seg_a,seg_b,dist_m
0,1,19.56
0,2,34.46
0,3,49.54
0,4,64.08
0,5,79.19
0,6,94.35
1,2,14.94
1,3,30.04
1,4,44.59
1,5,59.69
1,6,74.83
1,7,89.92
2,3,15.1
2,4,29.65
2,5,44.75
2,6,59.9
2,7,74.99
2,8,89.57
3,4,14.54
3,5,29.65
3,6,44.81
3,7,59.9
3,8,74.49
3,9,89.27
4,5,15.11
4,6,30.29
4,7,45.39
4,8,59.97
4,9,74.74
4,10,90.09
5,6,15.21
5,7,30.3
5,8,44.87
5,9,59.63
5,10,74.99
5,11,89.26
6,7,15.1
6,8,29.68
6,9,44.47
6,10,59.82
6,11,74.08
6,12,89.61
7,8,14.59
7,9,29.42
7,10,44.74
7,11,59.0
7,12,74.53
7,13,89.44
8,9,14.86
8,10,30.15
8,11,44.41
8,12,59.94
8,13,74.85
8,14,90.35
9,10,15.37
9,11,29.64
9,12,45.15
9,13,60.07
9,14,75.57
9,15,90.15
10,11,14.27
10,12,29.79
10,13,44.71
10,14,60.21
10,15,74.8
10,16,89.54
11,12,15.53
11,13,30.44
11,14,45.94
11,15,60.53
11,16,75.28
11,17,90.36
12,13,14.92
12,14,30.41
12,15,45.0
12,16,59.75
12,17,74.83
12,18,89.88
13,14,15.5
13,15,30.09
13,16,44.84
13,17,59.93
13,18,75.0
13,19,89.95
14,15,14.59
14,16,29.35
14,17,44.45
14,18,59.54
14,19,74.51
14,20,89.48
15,16,14.76
15,17,29.87
15,18,44.97
15,19,59.97
15,20,74.96
15,21,89.64
16,17,15.11
16,18,30.22
16,19,45.24
16,20,60.25
16,21,74.94
16,22,89.69
17,18,15.12
17,19,30.16
17,20,45.2
17,21,59.91
17,22,74.67
17,23,90.05
18,19,15.04
18,20,30.1
18,21,44.81
18,22,59.59
18,23,74.98
18,24,89.63
19,20,15.06
19,21,29.78
19,22,44.56
19,23,59.95
19,24,74.61
19,25,89.79
20,21,14.72
20,22,29.5
20,23,44.89
20,24,59.55
20,25,74.73
20,26,89.73
21,22,14.78
21,23,30.18
21,24,44.83
21,25,60.02
21,26,75.02
21,27,90.43
22,23,15.4
22,24,30.05
22,25,45.24
22,26,60.24
22,27,75.65
22,28,89.0
23,24,14.66
23,25,29.84
23,26,44.85
23,27,60.26
23,28,73.62
23,29,88.53
24,25,15.19
24,26,30.2
24,27,45.6
24,28,58.99
24,29,73.95
24,30,88.72
25,26,15.01
25,27,30.42
25,28,43.87
25,29,58.93
25,30,73.79
25,31,88.74
26,27,15.46
26,28,29.05
26,29,44.25
26,30,59.23
26,31,74.27
26,32,89.11
27,28,13.69
27,29,28.99
27,30,44.04
27,31,59.13
27,32,74.01
27,33,89.29
28,29,15.31
28,30,30.36
28,31,45.47
28,32,60.35
28,33,75.65
28,34,91.32
29,30,15.05
29,31,30.16
29,32,45.04
29,33,60.36
29,34,76.03
29,35,89.13
30,31,15.11
30,32,29.99
30,33,45.32
30,34,60.99
30,35,74.12
30,36,89.31
31,32,14.88
31,33,30.21
31,34,45.89
31,35,59.03
31,36,74.21
31,37,89.44
32,33,15.35
32,34,31.03
32,35,44.2
32,36,59.34
32,37,74.58
32,38,89.46
33,34,15.68
33,35,28.85
33,36,44.0
33,37,59.23
33,38,74.11
33,39,89.49
34,35,13.21
34,36,28.32
34,37,43.56
34,38,58.44
34,39,73.82
34,40,88.04
35,36,15.27
35,37,30.46
35,38,45.32
35,39,60.71
35,40,74.95
35,41,89.96
36,37,15.24
36,38,30.12
36,39,45.5
36,40,59.72
36,41,74.7
36,42,89.45
37,38,14.88
37,39,30.26
37,40,44.49
37,41,59.51
37,42,74.32
37,43,89.16
38,39,15.38
38,40,29.63
38,41,44.7
38,42,59.58
38,43,74.48
38,44,89.4
39,40,14.26
39,41,29.4
39,42,44.37
39,43,59.32
39,44,74.31
39,45,89.36
40,41,15.19
40,42,30.22
40,43,45.2
40,44,60.24
40,45,75.31
40,46,90.44
41,42,15.04
41,43,30.03
41,44,45.08
41,45,60.16
41,46,75.28
41,47,90.14
42,43,14.98
42,44,30.04
42,45,45.12
42,46,60.24
42,47,75.1
42,48,90.07
43,44,15.06
43,45,30.14
43,46,45.26
43,47,60.12
43,48,75.09
43,49,90.22
44,45,15.08
44,46,30.2
44,47,45.06
44,48,60.03
44,49,75.16
44,50,86.8
45,46,15.12
45,47,29.98
45,48,44.95
45,49,60.08
45,50,71.72
46,47,14.86
46,48,29.83
46,49,44.95
46,50,56.6
47,48,14.97
47,49,30.1
47,50,41.74
48,49,15.13
48,50,26.77
49,50,11.64
