seg_a,seg_b,dist_m
0,1,17.23
0,2,33.07
0,3,47.69
0,4,62.65
0,5,77.82
0,6,92.33
1,2,15.84
1,3,30.46
1,4,45.43
1,5,60.6
1,6,75.13
1,7,87.96
1,8,96.48
2,3,14.62
2,4,29.59
2,5,44.76
2,6,59.33
2,7,72.33
2,8,81.34
2,9,87.37
2,10,94.87
3,4,14.96
3,5,30.14
3,6,44.72
3,7,57.91
3,8,67.51
3,9,74.55
3,10,83.27
3,11,92.75
4,5,15.19
4,6,29.82
4,7,43.35
4,8,53.87
4,9,62.37
4,10,72.68
4,11,83.58
4,12,96.45
5,6,14.7
5,7,28.73
5,8,40.57
5,9,50.99
5,10,63.13
5,11,75.52
5,12,89.58
6,7,14.67
6,8,28.13
6,9,40.7
6,10,54.57
6,11,68.21
6,12,83.18
6,13,97.6
7,8,14.56
7,9,28.72
7,10,43.68
7,11,58.05
7,12,73.51
7,13,88.3
8,9,14.74
8,10,30.03
8,11,44.63
8,12,60.2
8,13,75.09
8,14,89.67
9,10,15.31
9,11,29.92
9,12,45.5
9,13,60.4
9,14,74.98
9,15,89.85
10,11,14.62
10,12,30.2
10,13,45.11
10,14,59.69
10,15,74.55
10,16,90.2
10,17,99.93
11,12,15.57
11,13,30.48
11,14,45.06
11,15,59.93
11,16,75.57
11,17,85.3
12,13,14.91
12,14,29.49
12,15,44.35
12,16,60.0
12,17,69.73
13,14,14.58
13,15,29.44
13,16,45.09
13,17,54.82
14,15,14.86
14,16,30.51
14,17,40.24
15,16,15.65
15,17,25.38
16,17,9.73
