frame,num_detections,total_bbox_area_ratio,mean_bbox_area_ratio,max_bbox_area_ratio,total_crack_length_px,mean_crack_length_px,damage_density,mean_confidence,mean_uncertainty,severity_score,class_counts,blur_score,brightness_score,motion_score,reliability,video,lat,lon,ele,speed_kmh,heading,gps_distance_m
frame_000000.jpg,1,0.015939,0.015939,0.015939,264.09,264.09,0.006111,0.603027,0.0,0.15175,"{""pothole"": 1}",1.0,1.0,1.0,1.0,7,12.91309561,77.54058965,790.47,0.0,235.63,0.0
frame_000001.jpg,1,0.01787,0.01787,0.01787,281.15,281.15,0.006111,0.53418,0.0,0.161952,"{""pothole"": 1}",1.0,1.0,1.0,1.0,7,12.91309561,77.54058965,790.47,0.0,235.63,0.0
frame_000002.jpg,1,0.01815,0.01815,0.01815,274.61,274.61,0.006111,0.562988,0.0,0.158498,"{""pothole"": 1}",1.0,1.0,1.0,1.0,7,12.91309561,77.54058965,790.47,0.0,235.63,0.0
frame_000003.jpg,1,0.017985,0.017985,0.017985,272.81,272.81,0.006111,0.60498,0.0,0.15744,"{""pothole"": 1}",1.0,1.0,1.0,1.0,7,12.91309561,77.54058964,790.47,0.0,235.63,0.0
frame_000004.jpg,1,0.018233,0.018233,0.018233,280.56,280.56,0.006111,0.375732,0.0,0.161793,"{""pothole"": 1}",1.0,1.0,1.0,1.0,7,12.9130956,77.54058964,790.47,0.0,235.63,0.0
frame_000005.jpg,1,0.016385,0.016385,0.016385,270.5,270.5,0.006111,0.506836,0.0,0.155454,"{""pothole"": 1}",1.0,1.0,1.0,1.0,7,12.9130956,77.54058964,790.47,0.0,235.63,0.0
frame_000006.jpg,1,0.01672,0.01672,0.01672,265.7,265.7,0.006111,0.559082,0.0,0.15298,"{""pothole"": 1}",1.0,1.0,1.0,1.0,7,12.9130956,77.54058964,790.47,0.01,235.63,0.0
frame_000007.jpg,1,0.0176,0.0176,0.0176,268.33,268.33,0.006111,0.450439,0.0,0.154815,"{""pothole"": 1}",1.0,1.0,1.0,1.0,7,12.9130956,77.54058964,790.47,0.01,235.63,0.0
frame_000008.jpg,1,0.018435,0.018435,0.018435,275.04,275.04,0.006111,0.623535,0.0,0.158861,"{""pothole"": 1}",1.0,1.0,1.0,1.0,7,12.9130956,77.54058963,790.47,0.01,235.63,0.0
frame_000009.jpg,1,0.02057,0.02057,0.02057,293.39,293.39,0.006111,0.608398,0.0,0.169868,"{""pothole"": 1}",1.0,1.0,1.0,1.0,7,12.9130956,77.54058963,790.48,0.01,235.63,0.0
frame_000010.jpg,1,0.017911,0.017911,0.017911,276.02,276.02,0.006111,0.601074,0.0,0.159166,"{""pothole"": 1}",1.0,1.0,1.0,1.0,7,12.9130956,77.54058963,790.48,0.01,235.63,0.0
frame_000011.jpg,1,0.018378,0.018378,0.018378,274.14,274.14,0.006111,0.549805,0.0,0.158347,"{""pothole"": 1}",1.0,1.0,1.0,1.0,7,12.9130956,77.54058963,790.48,0.01,235.63,0.0
frame_000012.jpg,1,0.017258,0.017258,0.017258,269.74,269.74,0.006111,0.572754,0.0,0.155435,"{""pothole"": 1}",1.0,1.0,1.0,1.0,7,12.91309559,77.54058963,790.48,0.01,235.63,0.0
frame_000013.jpg,1,0.01775,0.01775,0.01775,274.21,274.21,0.006111,0.639648,0.0,0.158103,"{""pothole"": 1}",1.0,1.0,1.0,1.0,7,12.91309559,77.54058962,790.48,0.01,235.63,0.0
frame_000014.jpg,1,0.020221,0.020221,0.020221,286.67,286.67,0.006111,0.652344,0.0,0.166029,"{""pothole"": 1}",1.0,1.0,0.9693,0.9939,7,12.91309559,77.54058962,790.48,0.01,235.63,0.0
