seg_a,seg_b,dist_m
0,1,19.31
0,2,34.55
0,3,49.29
0,4,64.63
0,5,78.51
0,6,94.24
1,2,15.24
1,3,29.99
1,4,45.32
1,5,59.21
1,6,74.94
1,7,89.8
2,3,14.76
2,4,30.09
2,5,43.97
2,6,59.7
2,7,74.56
2,8,88.91
3,4,15.35
3,5,29.31
3,6,45.02
3,7,59.88
3,8,74.24
3,9,89.28
4,5,14.02
4,6,29.7
4,7,44.54
4,8,58.91
4,9,73.94
4,10,88.87
5,6,15.73
5,7,30.59
5,8,44.94
5,9,60.01
5,10,74.97
5,11,90.69
6,7,14.86
6,8,29.22
6,9,44.29
6,10,59.25
6,11,74.97
6,12,89.0
7,8,14.37
7,9,29.42
7,10,44.39
7,11,60.11
7,12,74.14
7,13,89.24
8,9,15.15
8,10,30.12
8,11,45.83
8,12,59.84
8,13,74.89
8,14,88.53
9,10,14.97
9,11,30.69
9,12,44.72
9,13,59.85
9,14,73.54
9,15,89.12
10,11,15.73
10,12,29.75
10,13,44.96
10,14,58.69
10,15,74.25
10,16,89.94
11,12,14.03
11,13,29.33
11,14,43.1
11,15,58.63
11,16,74.27
11,17,87.95
12,13,15.53
12,14,29.29
12,15,44.73
12,16,60.3
12,17,73.95
12,18,89.2
13,14,13.78
13,15,29.3
13,16,44.99
13,17,58.73
13,18,74.07
13,19,89.34
14,15,15.59
14,16,31.37
14,17,45.18
14,18,60.56
14,19,75.87
14,20,89.88
15,16,15.81
15,17,29.65
15,18,45.05
15,19,60.36
15,20,74.42
15,21,89.26
16,17,13.85
16,18,29.25
16,19,44.56
16,20,58.63
16,21,73.47
17,18,15.4
17,19,30.71
17,20,44.79
17,21,59.63
18,19,15.31
18,20,29.4
18,21,44.24
19,20,14.16
19,21,28.96
20,21,14.84
