seg_a,seg_b,dist_m
0,1,18.81
0,2,34.13
0,3,47.52
0,4,61.7
0,5,76.48
0,6,91.61
1,2,15.57
1,3,29.18
1,4,43.94
1,5,58.57
1,6,73.63
1,7,88.73
1,8,93.36
2,3,13.64
2,4,28.67
2,5,43.14
2,6,58.14
2,7,73.2
2,8,77.82
2,9,87.11
3,4,15.3
3,5,29.53
3,6,44.5
3,7,59.56
3,8,64.4
3,9,74.0
3,10,88.51
3,11,96.27
4,5,14.79
4,6,29.93
4,7,45.13
4,8,51.29
4,9,61.78
4,10,75.93
4,11,84.74
4,12,92.57
5,6,15.14
5,7,30.33
5,8,37.02
5,9,48.03
5,10,61.81
5,11,71.26
5,12,80.18
5,13,89.55
6,7,15.2
6,8,23.22
6,9,34.97
6,10,47.87
6,11,58.24
6,12,68.64
6,13,79.0
7,8,12.36
7,9,23.95
7,10,34.58
7,11,46.11
7,12,58.28
7,13,69.66
8,9,12.02
8,10,24.81
8,11,35.09
8,12,46.34
8,13,57.47
9,10,14.68
9,11,23.32
9,12,34.38
9,13,45.74
10,11,12.73
10,12,27.4
10,13,39.85
11,12,15.09
11,13,27.53
12,13,12.46
